cluster_id,map_id,n_points,point_ids_in,pairwise_distances_m,decision,point_ids_kept,merged_subtype,merged_centroid_x,merged_centroid_y,timestamp
K-35-063-2_Chirpan_4326_c02196,K-35-063-2_Chirpan_4326,2,2196;2198,74.28,keep_all,2196;2198,,,,2026-04-19T05:29:45.343878+00:00
K-35-063-3_Tatarevo_4326_c01959,K-35-063-3_Tatarevo_4326,2,1959;1961,68.79,keep_all,1959;1961,,,,2026-04-19T05:29:46.127365+00:00
K-35-063-3_Tatarevo_4326_c02338,K-35-063-3_Tatarevo_4326,2,2338;2340,64.49,keep_all,2338;2340,,,,2026-04-19T05:29:48.007412+00:00
K-35-063-4_Skobelevo_4326_c04195,K-35-063-4_Skobelevo_4326,2,4195;4205,6.08,merge,,burial_mound,365768.5780,4650868.1090,2026-04-19T04:41:22.026782+00:00
K-35-063-4_Skobelevo_4326_c04196,K-35-063-4_Skobelevo_4326,2,4196;4207,8.20,merge,,bench_mark_on_mound,370786.8621,4650571.8611,2026-04-19T04:43:16.252238+00:00
K-35-064-1_Sredets_4326_c02069,K-35-064-1_Sredets_4326,2,2069;2070,58.40,keep_all,2069;2070,,,,2026-04-19T05:29:48.913353+00:00
K-35-064-1_Sredets_4326_c02136,K-35-064-1_Sredets_4326,2,2136;2143,62.95,keep_all,2136;2143,,,,2026-04-19T05:29:51.542559+00:00
K-35-064-1_Sredets_4326_c02375,K-35-064-1_Sredets_4326,3,2375;2377;2379,50.48;92.10;45.37,keep_all,2375;2377;2379,,,,2026-04-19T05:30:06.536954+00:00
K-35-064-1_Sredets_4326_c02453,K-35-064-1_Sredets_4326,2,2453;2454,69.67,keep_all,2453;2454,,,,2026-04-19T05:30:07.810568+00:00
K-35-064-1_Sredets_4326_c02466,K-35-064-1_Sredets_4326,2,2466;2467,68.27,keep_all,2466;2467,,,,2026-04-19T05:30:09.012110+00:00
K-35-064-2_Radnevo_4326_c00167,K-35-064-2_Radnevo_4326,2,167;169,12.35,merge,,bench_mark_on_mound,412437.8847,4681935.4285,2026-04-19T04:48:22.902922+00:00
K-35-065-1_Radetski_4326_c01120,K-35-065-1_Radetski_4326,2,1120;1151,7.11,merge,,bench_mark_on_mound,419731.5920,4673379.7507,2026-04-19T04:48:45.221024+00:00
K-35-066-1_c00458,K-35-066-1,2,458;4692,58.55,keep_all,458;4692,,,,2026-04-19T05:30:09.942341+00:00
K-35-066-1_c00480,K-35-066-1,2,480;482,50.22,keep_all,480;482,,,,2026-04-19T05:30:10.673290+00:00
K-35-066-1_c00587,K-35-066-1,2,587;588,70.77,keep_all,587;588,,,,2026-04-19T05:30:11.428915+00:00
K-35-066-1_c00625,K-35-066-1,2,625;626,63.62,keep_all,625;626,,,,2026-04-19T05:30:12.625484+00:00
K-35-066-2_c00974,K-35-066-2,2,974;975,62.54,keep_all,974;975,,,,2026-04-19T05:30:13.311167+00:00
K-35-066-2_c01174,K-35-066-2,2,1174;1175,68.92,keep_all,1174;1175,,,,2026-04-19T05:30:18.168407+00:00
K-35-066-3_c01329,K-35-066-3,2,1329;1330,66.54,keep_all,1329;1330,,,,2026-04-19T05:30:20.081074+00:00
K-35-066-3_c01426,K-35-066-3,3,1426;1429;1430,62.48;116.46;67.59,keep_all,1426;1429;1430,,,,2026-04-19T05:30:21.290315+00:00
K-35-067-2_c03784,K-35-067-2,2,3784;3785,60.18,keep_all,3784;3785,,,,2026-04-19T05:30:22.042189+00:00
K-35-067-2_c03795,K-35-067-2,2,3795;3809,1.67,merge,,burial_mound,530850.8285,4672676.4954,2026-04-19T04:48:50.929743+00:00
K-35-067-2_c03801,K-35-067-2,2,3801;3802,63.72,keep_all,3801;3802,,,,2026-04-19T05:30:22.739855+00:00
K-35-067-2_c03836,K-35-067-2,2,3836;3837,57.03,keep_all,3836;3837,,,,2026-04-19T05:30:23.341832+00:00
K-35-067-4_c03898,K-35-067-4,2,3898;3899,71.94,keep_all,3898;3899,,,,2026-04-19T05:30:24.026562+00:00
K-35-074-1_c04600,K-35-074-1,3,4600;4601;4602,65.42;79.50;70.60,keep_all,4600;4601;4602,,,,2026-04-19T05:30:24.674655+00:00
K-35-074-1_c04618,K-35-074-1,2,4618;4619,63.58,keep_all,4618;4619,,,,2026-04-19T05:30:25.595220+00:00
K-35-075-1_c04129,K-35-075-1,2,4129;4144,21.78,merge,,burial_mound,347728.9711,4648030.1960,2026-04-19T04:48:53.958349+00:00
K-35-075-1_c04186,K-35-075-1,2,4186;4187,65.11,keep_all,4186;4187,,,,2026-04-19T05:30:26.395182+00:00
K-35-075-2_c04192,K-35-075-2,2,4192;4204,20.92,merge,,bench_mark_on_mound,356306.1664,4650460.1190,2026-04-19T04:52:45.606777+00:00
K-35-075-2_c04193,K-35-075-2,2,4193;4213,17.86,merge,,burial_mound,357012.1747,4649894.2639,2026-04-19T04:54:02.403181+00:00
K-35-075-2_c04194,K-35-075-2,2,4194;4203,37.09,merge,,settlement_mound,355622.2049,4650000.1937,2026-04-19T04:54:13.615728+00:00
K-35-075-2_c04197,K-35-075-2,2,4197;4208,8.63,merge,,burial_mound,373609.9780,4649400.9299,2026-04-19T04:54:18.446784+00:00
K-35-075-2_c04198,K-35-075-2,2,4198;4209,31.96,merge,,burial_mound,372168.9941,4649094.7101,2026-04-19T04:54:24.266987+00:00
K-35-075-2_c04199,K-35-075-2,2,4199;4210,30.87,merge,,burial_mound,371819.0038,4649225.7433,2026-04-19T04:54:36.594544+00:00
K-35-075-2_c04200,K-35-075-2,2,4200;4211,3.33,merge,,burial_mound,371642.5711,4649669.4379,2026-04-19T04:54:41.371703+00:00
K-35-075-2_c04230,K-35-075-2,2,4230;4231,68.17,keep_all,4230;4231,,,,2026-04-19T05:30:27.128372+00:00
K-35-075-2_c04236,K-35-075-2,2,4236;4237,67.09,keep_all,4236;4237,,,,2026-04-19T05:30:27.745113+00:00
K-35-075-2_c04271,K-35-075-2,2,4271;4272,73.30,keep_all,4271;4272,,,,2026-04-19T05:30:28.379814+00:00
K-35-075-2_c04303,K-35-075-2,2,4303;4304,74.01,keep_all,4303;4304,,,,2026-04-19T05:30:29.029972+00:00
K-35-075-2_c04323,K-35-075-2,2,4323;4324,68.99,keep_all,4323;4324,,,,2026-04-19T05:30:29.647751+00:00
K-35-075-4_c04473,K-35-075-4,2,4473;4474,60.36,keep_all,4473;4474,,,,2026-04-19T05:30:33.891500+00:00
K-35-075-4_c04475,K-35-075-4,2,4475;4476,49.16,merge,,burial_mound,363605.2852,4632108.6293,2026-04-19T04:55:02.847822+00:00
K-35-075-4_c04491,K-35-075-4,2,4491;4492,68.06,keep_all,4491;4492,,,,2026-04-19T05:30:35.839340+00:00
K-35-075-4_c04497,K-35-075-4,2,4497;4498,56.09,keep_all,4497;4498,,,,2026-04-19T05:30:36.504775+00:00
K-35-075-4_c04499,K-35-075-4,2,4499;4500,54.56,keep_all,4499;4500,,,,2026-04-19T05:30:37.623773+00:00
K-35-075-4_c04501,K-35-075-4,2,4501;4502,58.13,keep_all,4501;4502,,,,2026-04-19T05:30:38.528750+00:00
K-35-075-4_c04521,K-35-075-4,2,4521;4522,51.21,keep_all,4521;4522,,,,2026-04-19T05:30:39.606677+00:00
K-35-076-3_c04431,K-35-076-3,2,4431;4432,72.36,keep_all,4431;4432,,,,2026-04-19T05:30:40.281355+00:00
K-35-076-3_c04449,K-35-076-3,2,4449;4450,62.76,keep_all,4449;4450,,,,2026-04-19T05:30:40.925183+00:00
K-35-077-1_c02788,K-35-077-1,2,2788;2855,25.90,merge,,trig_point_on_mound,418588.5829,4643975.2540,2026-04-19T04:55:54.977427+00:00
K-35-077-1_c02944,K-35-077-1,2,2944;2947,21.58,merge,,burial_mound,430621.6359,4639672.6221,2026-04-19T04:57:24.997884+00:00
K-35-077-1_c02953,K-35-077-1,2,2953;2954,72.13,keep_all,2953;2954,,,,2026-04-19T05:30:41.770880+00:00
K-35-077-2_c03562,K-35-077-2,2,3562;3595,19.64,merge,,burial_mound,443382.8015,4644186.7649,2026-04-19T04:57:28.464919+00:00
K-35-077-2_c03728,K-35-077-2,2,3728;3729,68.68,keep_all,3728;3729,,,,2026-04-19T05:30:42.532670+00:00
K-35-077-3_c03875,K-35-077-3,2,3875;3876,66.37,keep_all,3875;3876,,,,2026-04-19T05:30:43.695394+00:00
K-35-077-4_c04090,K-35-077-4,2,4090;4091,71.32,keep_all,4090;4091,,,,2026-04-19T05:30:45.460431+00:00
