map_name,source,n_neighbours_50m,n_neighbours_100m
K-35-052-3,reviewer_phantom,1,1
K-35-052-3,reviewer_phantom,1,1
K-35-052-3,reviewer_phantom,1,1
K-35-052-3,reviewer_phantom,1,1
K-35-052-3,reviewer_phantom,0,0
K-35-052-3,reviewer_phantom,0,2
K-35-052-3,reviewer_phantom,0,1
K-35-052-3,reviewer_phantom,2,2
K-35-052-3,reviewer_phantom,1,1
K-35-052-3,reviewer_phantom,1,2
K-35-052-3,reviewer_phantom,1,2
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,1
K-35-053-1,student,0,1
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,1
K-35-053-1,student,0,1
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,student,0,0
K-35-053-1,reviewer_phantom,0,0
K-35-053-1,reviewer_phantom,0,0
