dataset,map_name,buffer_m,n_tiles,n_refs,n_dets,precision,recall,f1
55-map,K-35-063-1_Granit_4326,40,156,246,257,0.7043,0.7358,0.7197
55-map,K-35-063-1_Granit_4326,50,156,246,257,0.716,0.748,0.7316
55-map,K-35-063-2_Chirpan_4326,20,156,200,178,0.6404,0.57,0.6032
55-map,K-35-063-2_Chirpan_4326,30,156,200,178,0.7528,0.67,0.709
55-map,K-35-063-2_Chirpan_4326,40,156,200,178,0.8146,0.725,0.7672
55-map,K-35-063-2_Chirpan_4326,50,156,200,178,0.8258,0.735,0.7778
55-map,K-35-063-3_Tatarevo_4326,20,156,117,115,0.5826,0.5726,0.5776
55-map,K-35-063-3_Tatarevo_4326,30,156,117,115,0.713,0.7009,0.7069
55-map,K-35-063-3_Tatarevo_4326,40,156,117,115,0.7652,0.7521,0.7586
55-map,K-35-063-3_Tatarevo_4326,50,156,117,115,0.7826,0.7692,0.7759
55-map,K-35-063-4_Skobelevo_4326,20,156,114,106,0.3774,0.3509,0.3636
55-map,K-35-063-4_Skobelevo_4326,30,156,114,106,0.5566,0.5175,0.5364
55-map,K-35-063-4_Skobelevo_4326,40,156,114,106,0.6981,0.6491,0.6727
55-map,K-35-063-4_Skobelevo_4326,50,156,114,106,0.7547,0.7018,0.7273
55-map,K-35-064-1_Sredets_4326,20,156,126,110,0.5364,0.4683,0.5
55-map,K-35-064-1_Sredets_4326,30,156,126,110,0.6727,0.5873,0.6271
55-map,K-35-064-1_Sredets_4326,40,156,126,110,0.7364,0.6429,0.6864
55-map,K-35-064-1_Sredets_4326,50,156,126,110,0.8091,0.7063,0.7542
55-map,K-35-064-2_Radnevo_4326,20,156,62,73,0.3836,0.4516,0.4148
55-map,K-35-064-2_Radnevo_4326,30,156,62,73,0.5342,0.629,0.5778
55-map,K-35-064-2_Radnevo_4326,40,156,62,73,0.589,0.6935,0.637
55-map,K-35-064-2_Radnevo_4326,50,156,62,73,0.6027,0.7097,0.6519
55-map,K-35-064-3_Dimitrovgrad_4326,20,156,99,96,0.4688,0.4545,0.4615
55-map,K-35-064-3_Dimitrovgrad_4326,30,156,99,96,0.6146,0.596,0.6051
55-map,K-35-064-3_Dimitrovgrad_4326,40,156,99,96,0.6875,0.6667,0.6769
55-map,K-35-064-3_Dimitrovgrad_4326,50,156,99,96,0.75,0.7273,0.7385
55-map,K-35-064-4_Galabovo_4326,20,156,75,65,0.4308,0.3733,0.4
55-map,K-35-064-4_Galabovo_4326,30,156,75,65,0.6769,0.5867,0.6286
55-map,K-35-064-4_Galabovo_4326,40,156,75,65,0.7692,0.6667,0.7143
55-map,K-35-064-4_Galabovo_4326,50,156,75,65,0.8,0.6933,0.7429
55-map,K-35-065-1_Radetski_4326,20,156,113,117,0.5214,0.5398,0.5304
55-map,K-35-065-1_Radetski_4326,30,156,113,117,0.7179,0.7434,0.7304
55-map,K-35-065-1_Radetski_4326,40,156,113,117,0.7607,0.7876,0.7739
55-map,K-35-065-1_Radetski_4326,50,156,113,117,0.7863,0.8142,0.8
55-map,K-35-065-2_GManastir_4326,20,156,91,91,0.5495,0.5495,0.5495
55-map,K-35-065-2_GManastir_4326,30,156,91,91,0.7473,0.7473,0.7473
55-map,K-35-065-2_GManastir_4326,40,156,91,91,0.8571,0.8571,0.8571
55-map,K-35-065-2_GManastir_4326,50,156,91,91,0.8681,0.8681,0.8681
55-map,K-35-065-3_Glavan_4326,20,156,73,65,0.6615,0.589,0.6232
55-map,K-35-065-3_Glavan_4326,30,156,73,65,0.7692,0.6849,0.7246
55-map,K-35-065-3_Glavan_4326,40,156,73,65,0.8,0.7123,0.7536
55-map,K-35-065-3_Glavan_4326,50,156,73,65,0.8308,0.7397,0.7826
55-map,K-35-065-4,20,156,43,42,0.5238,0.5116,0.5176
55-map,K-35-065-4,30,156,43,42,0.8571,0.8372,0.8471
55-map,K-35-065-4,40,156,43,42,0.9048,0.8837,0.8941
55-map,K-35-065-4,50,156,43,42,0.9048,0.8837,0.8941
55-map,K-35-066-1,20,156,162,167,0.4731,0.4877,0.4802
55-map,K-35-066-1,30,156,162,167,0.7305,0.7531,0.7416
55-map,K-35-066-1,40,156,162,167,0.8144,0.8395,0.8267
55-map,K-35-066-1,50,156,162,167,0.8323,0.858,0.845
55-map,K-35-066-2,20,143,82,90,0.3778,0.4146,0.3953
55-map,K-35-066-2,30,143,82,90,0.6778,0.7439,0.7093
55-map,K-35-066-2,40,143,82,90,0.7444,0.8171,0.7791
55-map,K-35-066-2,50,143,82,90,0.7556,0.8293,0.7907
55-map,K-35-066-3,20,156,104,105,0.4762,0.4808,0.4785
55-map,K-35-066-3,30,156,104,105,0.7238,0.7308,0.7273
55-map,K-35-066-3,40,156,104,105,0.8476,0.8558,0.8517
55-map,K-35-066-3,50,156,104,105,0.8667,0.875,0.8708
55-map,K-35-066-4,20,143,71,73,0.4932,0.507,0.5
55-map,K-35-066-4,30,143,71,73,0.6849,0.7042,0.6944
55-map,K-35-066-4,40,143,71,73,0.7397,0.7606,0.75
55-map,K-35-066-4,50,143,71,73,0.7945,0.8169,0.8056
55-map,K-35-067-1,20,156,53,47,0.4894,0.434,0.46
55-map,K-35-067-1,30,156,53,47,0.617,0.5472,0.58
55-map,K-35-067-1,40,156,53,47,0.7234,0.6415,0.68
55-map,K-35-067-1,50,156,53,47,0.7447,0.6604,0.7
55-map,K-35-067-2,20,156,112,103,0.4175,0.3839,0.4
55-map,K-35-067-2,30,156,112,103,0.6214,0.5714,0.5953
55-map,K-35-067-2,40,156,112,103,0.7864,0.7232,0.7535
55-map,K-35-067-2,50,156,112,103,0.8155,0.75,0.7814
55-map,K-35-067-3,20,143,53,48,0.625,0.566,0.5941
55-map,K-35-067-3,30,143,53,48,0.75,0.6792,0.7129
55-map,K-35-067-3,40,143,53,48,0.7708,0.6981,0.7327
55-map,K-35-067-3,50,143,53,48,0.7917,0.717,0.7525
55-map,K-35-067-4,20,156,64,55,0.4909,0.4219,0.4538
55-map,K-35-067-4,30,156,64,55,0.6364,0.5469,0.5882
55-map,K-35-067-4,40,156,64,55,0.6727,0.5781,0.6218
55-map,K-35-067-4,50,156,64,55,0.7273,0.625,0.6723
55-map,K-35-074-1,20,156,24,27,0.5185,0.5833,0.549
55-map,K-35-074-1,30,156,24,27,0.5926,0.6667,0.6275
55-map,K-35-074-1,40,156,24,27,0.6296,0.7083,0.6667
55-map,K-35-074-1,50,156,24,27,0.6296,0.7083,0.6667
55-map,K-35-074-2,20,156,31,30,0.7,0.6774,0.6885
55-map,K-35-074-2,30,156,31,30,0.7667,0.7419,0.7541
55-map,K-35-074-2,40,156,31,30,0.7667,0.7419,0.7541
55-map,K-35-074-2,50,156,31,30,0.7667,0.7419,0.7541
55-map,K-35-074-3,20,156,10,12,0.4167,0.5,0.4545
55-map,K-35-074-3,30,156,10,12,0.5833,0.7,0.6364
55-map,K-35-074-3,40,156,10,12,0.6667,0.8,0.7273
55-map,K-35-074-3,50,156,10,12,0.6667,0.8,0.7273
55-map,K-35-074-4,20,156,10,8,0.5,0.4,0.4444
55-map,K-35-074-4,30,156,10,8,0.75,0.6,0.6667
55-map,K-35-074-4,40,156,10,8,0.75,0.6,0.6667
55-map,K-35-074-4,50,156,10,8,0.75,0.6,0.6667
55-map,K-35-075-1,20,156,73,77,0.4935,0.5205,0.5067
55-map,K-35-075-1,30,156,73,77,0.7013,0.7397,0.72
55-map,K-35-075-1,40,156,73,77,0.7273,0.7671,0.7467
55-map,K-35-075-1,50,156,73,77,0.7273,0.7671,0.7467
55-map,K-35-075-2,20,156,142,126,0.5952,0.5282,0.5597
55-map,K-35-075-2,30,156,142,126,0.7619,0.6761,0.7164
55-map,K-35-075-2,40,156,142,126,0.8016,0.7113,0.7537
55-map,K-35-075-2,50,156,142,126,0.8016,0.7113,0.7537
55-map,K-35-075-3,20,156,2,12,0.1667,1.0,0.2857
55-map,K-35-075-3,30,156,2,12,0.1667,1.0,0.2857
55-map,K-35-075-3,40,156,2,12,0.1667,1.0,0.2857
55-map,K-35-075-3,50,156,2,12,0.1667,1.0,0.2857
55-map,K-35-075-4,20,156,58,47,0.4043,0.3276,0.3619
55-map,K-35-075-4,30,156,58,47,0.7234,0.5862,0.6476
55-map,K-35-075-4,40,156,58,47,0.7872,0.6379,0.7048
55-map,K-35-075-4,50,156,58,47,0.8298,0.6724,0.7429
55-map,K-35-076-1,20,156,117,110,0.6636,0.6239,0.6432
55-map,K-35-076-1,30,156,117,110,0.8545,0.8034,0.8282
55-map,K-35-076-1,40,156,117,110,0.8818,0.8291,0.8546
55-map,K-35-076-1,50,156,117,110,0.8818,0.8291,0.8546
55-map,K-35-076-2,20,156,47,103,0.3107,0.6809,0.4267
55-map,K-35-076-2,30,156,47,103,0.4078,0.8936,0.56
55-map,K-35-076-2,40,156,47,103,0.4272,0.9362,0.5867
55-map,K-35-076-2,50,156,47,103,0.4272,0.9362,0.5867
55-map,K-35-076-3,20,156,68,57,0.5789,0.4853,0.528
55-map,K-35-076-3,30,156,68,57,0.7719,0.6471,0.704
55-map,K-35-076-3,40,156,68,57,0.7895,0.6618,0.72
55-map,K-35-076-3,50,156,68,57,0.8246,0.6912,0.752
55-map,K-35-076-4,20,156,50,49,0.6735,0.66,0.6667
55-map,K-35-076-4,30,156,50,49,0.7347,0.72,0.7273
55-map,K-35-076-4,40,156,50,49,0.7755,0.76,0.7677
55-map,K-35-076-4,50,156,50,49,0.8163,0.8,0.8081
55-map,K-35-077-1,20,156,65,70,0.3143,0.3385,0.3259
55-map,K-35-077-1,30,156,65,70,0.5143,0.5538,0.5333
55-map,K-35-077-1,40,156,65,70,0.6286,0.6769,0.6519
55-map,K-35-077-1,50,156,65,70,0.6429,0.6923,0.6667
55-map,K-35-077-2,20,156,88,76,0.3684,0.3182,0.3415
55-map,K-35-077-2,30,156,88,76,0.5132,0.4432,0.4756
55-map,K-35-077-2,40,156,88,76,0.6184,0.5341,0.5732
55-map,K-35-077-2,50,156,88,76,0.6447,0.5568,0.5976
55-map,K-35-077-3,20,156,44,47,0.4468,0.4773,0.4615
55-map,K-35-077-3,30,156,44,47,0.617,0.6591,0.6374
55-map,K-35-077-3,40,156,44,47,0.6383,0.6818,0.6593
55-map,K-35-077-3,50,156,44,47,0.6383,0.6818,0.6593
55-map,K-35-077-4,20,156,39,35,0.4857,0.4359,0.4595
55-map,K-35-077-4,30,156,39,35,0.6857,0.6154,0.6486
55-map,K-35-077-4,40,156,39,35,0.7143,0.641,0.6757
55-map,K-35-077-4,50,156,39,35,0.7714,0.6923,0.7297
4-map,K-35-052-4_32635,20,117,136,92,0.7826,0.766,0.7742
4-map,K-35-052-4_32635,30,117,136,92,0.8696,0.8511,0.8602
4-map,K-35-052-4_32635,40,117,136,92,0.9022,0.883,0.8925
4-map,K-35-052-4_32635,50,117,136,92,0.9022,0.883,0.8925
4-map,K-35-053-3_Elenovo,20,125,217,144,0.8125,0.7222,0.7647
4-map,K-35-053-3_Elenovo,30,125,217,144,0.8819,0.784,0.8301
4-map,K-35-053-3_Elenovo,40,125,217,144,0.8958,0.7963,0.8431
4-map,K-35-053-3_Elenovo,50,125,217,144,0.9097,0.8086,0.8562
4-map,K-35-062-2_Rakovski,20,134,196,162,0.8148,0.8049,0.8098
4-map,K-35-062-2_Rakovski,30,134,196,162,0.8827,0.872,0.8773
4-map,K-35-062-2_Rakovski,40,134,196,162,0.9012,0.8902,0.8957
4-map,K-35-062-2_Rakovski,50,134,196,162,0.9012,0.8902,0.8957
4-map,K-35-078-1_Lesovo,20,111,20,16,0.8125,0.8667,0.8387
4-map,K-35-078-1_Lesovo,30,111,20,16,0.875,0.9333,0.9032
4-map,K-35-078-1_Lesovo,40,111,20,16,0.875,0.9333,0.9032
4-map,K-35-078-1_Lesovo,50,111,20,16,0.875,0.9333,0.9032
