group,question,family,label_a,label_b,f1_a,f1_b,delta_f1,precision_a,precision_b,recall_a,recall_b,n_detections_a,n_detections_b,p_value_raw,p_value_adj,significant,wins_a,losses_a,ties,n_tiles
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-text-t07 N=5 N=5, 5-of-5",0.8592,0.6397,0.2194,0.8777,0.5329,0.8414,0.8,417,653,0.0,0.0,***,50,43,394,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-text-t07 N=10 N=10, 10-of-10",0.8592,0.6332,0.226,0.8777,0.5625,0.8414,0.7241,417,560,0.0,0.0,***,65,34,388,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"single-pass-t0 N=10 N=10, 10-of-10",0.8592,0.5521,0.307,0.8777,0.4098,0.8414,0.846,417,898,0.0,0.0,***,46,42,399,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"single-pass-t0 N=5 N=5, 5-of-5",0.8592,0.544,0.3151,0.8777,0.3964,0.8414,0.8667,417,951,0.0,0.0,***,44,45,398,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-text-t10 N=5 N=5, 5-of-5",0.8592,0.4712,0.3879,0.8777,0.5831,0.8414,0.3954,417,295,0.0,0.0,***,118,23,346,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-text-t10 N=30 N=30, 22-of-30",0.8592,0.467,0.3922,0.8777,0.4987,0.8414,0.4391,417,383,0.0,0.0,***,109,24,354,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-4-of-5--flash-medium-vf (t=0.95),"flash-min-text-t10 N=10 N=10, 9-of-10",0.8592,0.4615,0.3976,0.8777,0.5455,0.8414,0.4,417,319,0.0,0.0,***,118,21,348,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),pro-high-text-3-of-5--flash-min-vf (t=0.15),0.8564,0.8491,0.0073,0.9574,0.9568,0.7747,0.7632,352,347,0.672,0.6883,ns,39,34,414,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"pro-high-text N=5 N=5, 3-of-5",0.8564,0.8404,0.016,0.9574,0.9183,0.7747,0.7747,352,367,0.4003,0.4237,ns,47,47,393,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),text-baseline--flash-min-vf (t=0.15),0.8564,0.8142,0.0422,0.9574,0.7888,0.7747,0.8414,352,464,0.0204,0.0253,*,46,37,404,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-high-text N=30 N=30, 26-of-30",0.8564,0.8141,0.0423,0.9574,0.8337,0.7747,0.7954,352,415,0.0004,0.0006,***,29,37,421,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-high-text N=10 N=10, 9-of-10",0.8564,0.7968,0.0597,0.9574,0.8005,0.7747,0.7931,352,431,0.0,0.0,***,25,34,428,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-high-text N=5 N=5, 5-of-5",0.8564,0.7788,0.0776,0.9574,0.7976,0.7747,0.7609,352,415,0.0,0.0,***,40,36,411,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.8564,0.7778,0.0786,0.9574,0.8005,0.7747,0.7563,352,411,0.0001,0.0001,***,53,35,399,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-high-image N=5 N=5, 3-of-5",0.8564,0.7269,0.1295,0.9574,0.6759,0.7747,0.7862,352,506,0.0,0.0,***,62,49,376,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),image-baseline--flash-min-vf (t=0.2),0.8564,0.7167,0.1397,0.9574,0.6634,0.7747,0.7793,352,511,0.0,0.0,***,75,37,375,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"pro-high-image N=5 N=5, 3-of-5",0.8564,0.6998,0.1566,0.9574,0.673,0.7747,0.7287,352,471,0.0,0.0,***,76,44,367,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-image N=5 N=5, 4-of-5",0.8564,0.6639,0.1925,0.9574,0.608,0.7747,0.731,352,523,0.0,0.0,***,62,43,382,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-text-t07 N=30 N=30, 29-of-30",0.8564,0.6611,0.1953,0.9574,0.6019,0.7747,0.7333,352,530,0.0,0.0,***,53,40,394,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-text-t07 N=5 N=5, 5-of-5",0.8564,0.6397,0.2167,0.9574,0.5329,0.7747,0.8,352,653,0.0,0.0,***,43,46,398,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-text-t07 N=10 N=10, 10-of-10",0.8564,0.6332,0.2233,0.9574,0.5625,0.7747,0.7241,352,560,0.0,0.0,***,53,41,393,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"single-pass-t0 N=10 N=10, 10-of-10",0.8564,0.5521,0.3043,0.9574,0.4098,0.7747,0.846,352,898,0.0,0.0,***,37,49,401,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"single-pass-t0 N=5 N=5, 5-of-5",0.8564,0.544,0.3124,0.9574,0.3964,0.7747,0.8667,352,951,0.0,0.0,***,36,52,399,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-text-t10 N=5 N=5, 5-of-5",0.8564,0.4712,0.3852,0.9574,0.5831,0.7747,0.3954,352,295,0.0,0.0,***,109,21,357,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-text-t10 N=30 N=30, 22-of-30",0.8564,0.467,0.3894,0.9574,0.4987,0.7747,0.4391,352,383,0.0,0.0,***,103,27,357,487
8,Leaderboard distinguishability,leaderboard,flash-high-text-9-of-10--flash-min-vf (t=0.2),"flash-min-text-t10 N=10 N=10, 9-of-10",0.8564,0.4615,0.3949,0.9574,0.5455,0.7747,0.4,352,319,0.0,0.0,***,109,22,356,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"pro-high-text N=5 N=5, 3-of-5",0.8491,0.8404,0.0087,0.9568,0.9183,0.7632,0.7747,347,367,0.258,0.2814,ns,20,30,437,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),text-baseline--flash-min-vf (t=0.15),0.8491,0.8142,0.0349,0.9568,0.7888,0.7632,0.8414,347,464,0.0739,0.0858,ns,48,49,390,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-high-text N=30 N=30, 26-of-30",0.8491,0.8141,0.035,0.9568,0.8337,0.7632,0.7954,347,415,0.0626,0.073,ns,40,52,395,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-high-text N=10 N=10, 9-of-10",0.8491,0.7968,0.0523,0.9568,0.8005,0.7632,0.7931,347,431,0.0074,0.0096,**,43,53,391,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-high-text N=5 N=5, 5-of-5",0.8491,0.7788,0.0703,0.9568,0.7976,0.7632,0.7609,347,415,0.0015,0.0021,**,50,49,388,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),flash-high-image-3-of-5--flash-min-vf (t=0.15),0.8491,0.7778,0.0713,0.9568,0.8005,0.7632,0.7563,347,411,0.0051,0.0067,**,51,48,388,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-high-image N=5 N=5, 3-of-5",0.8491,0.7269,0.1222,0.9568,0.6759,0.7632,0.7862,347,506,0.0,0.0,***,57,57,373,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),image-baseline--flash-min-vf (t=0.2),0.8491,0.7167,0.1324,0.9568,0.6634,0.7632,0.7793,347,511,0.0,0.0,***,68,49,370,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"pro-high-image N=5 N=5, 3-of-5",0.8491,0.6998,0.1493,0.9568,0.673,0.7632,0.7287,347,471,0.0,0.0,***,70,48,369,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-image N=5 N=5, 4-of-5",0.8491,0.6639,0.1852,0.9568,0.608,0.7632,0.731,347,523,0.0,0.0,***,66,54,367,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=30 N=30, 29-of-30",0.8491,0.6611,0.188,0.9568,0.6019,0.7632,0.7333,347,530,0.0,0.0,***,54,42,391,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=5 N=5, 5-of-5",0.8491,0.6397,0.2094,0.9568,0.5329,0.7632,0.8,347,653,0.0,0.0,***,43,53,391,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t07 N=10 N=10, 10-of-10",0.8491,0.6332,0.2159,0.9568,0.5625,0.7632,0.7241,347,560,0.0,0.0,***,53,44,390,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"single-pass-t0 N=10 N=10, 10-of-10",0.8491,0.5521,0.297,0.9568,0.4098,0.7632,0.846,347,898,0.0,0.0,***,34,53,400,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"single-pass-t0 N=5 N=5, 5-of-5",0.8491,0.544,0.3051,0.9568,0.3964,0.7632,0.8667,347,951,0.0,0.0,***,33,56,398,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t10 N=5 N=5, 5-of-5",0.8491,0.4712,0.3779,0.9568,0.5831,0.7632,0.3954,347,295,0.0,0.0,***,101,27,359,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t10 N=30 N=30, 22-of-30",0.8491,0.467,0.3821,0.9568,0.4987,0.7632,0.4391,347,383,0.0,0.0,***,95,33,359,487
8,Leaderboard distinguishability,leaderboard,pro-high-text-3-of-5--flash-min-vf (t=0.15),"flash-min-text-t10 N=10 N=10, 9-of-10",0.8491,0.4615,0.3876,0.9568,0.5455,0.7632,0.4,347,319,0.0,0.0,***,102,27,358,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5",text-baseline--flash-min-vf (t=0.15),0.8404,0.8142,0.0262,0.9183,0.7888,0.7747,0.8414,367,464,0.1878,0.2084,ns,56,48,383,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5","flash-high-text N=30 N=30, 26-of-30",0.8404,0.8141,0.0263,0.9183,0.8337,0.7747,0.7954,367,415,0.1653,0.1859,ns,31,39,417,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5","flash-high-text N=10 N=10, 9-of-10",0.8404,0.7968,0.0436,0.9183,0.8005,0.7747,0.7931,367,431,0.0238,0.0291,*,35,41,411,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5","flash-high-text N=5 N=5, 5-of-5",0.8404,0.7788,0.0616,0.9183,0.7976,0.7747,0.7609,367,415,0.0042,0.0056,**,44,38,405,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5",flash-high-image-3-of-5--flash-min-vf (t=0.15),0.8404,0.7778,0.0626,0.9183,0.8005,0.7747,0.7563,367,411,0.0196,0.0244,*,60,51,376,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5","flash-high-image N=5 N=5, 3-of-5",0.8404,0.7269,0.1135,0.9183,0.6759,0.7747,0.7862,367,506,0.0,0.0,***,61,44,382,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5",image-baseline--flash-min-vf (t=0.2),0.8404,0.7167,0.1237,0.9183,0.6634,0.7747,0.7793,367,511,0.0,0.0,***,73,40,374,487
8,Leaderboard distinguishability,leaderboard,"pro-high-text N=5 N=5, 3-of-5","pro-high-image N=5 N=5, 3-of-5",0.8404,0.6998,0.1406,0.9183,0.673,0.7747,0.7287,367,471,0.0,0.0,***,72,36,379,487
