temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,30,12,0.7541,0.6259,0.9485,0.6126,0.8128,0.4874,0.7424,0.7938,0.9277,147
T0.3,30,13,0.7931,0.6815,0.9485,0.6593,0.8403,0.547,0.7895,0.7938,0.9277,135
T0.3,30,14,0.8053,0.7054,0.9381,0.6667,0.848,0.57,0.8098,0.7766,0.9224,129
T0.3,30,15,0.8165,0.7355,0.9175,0.68,0.8572,0.6018,0.8356,0.76,0.9084,121
T0.3,30,16,0.8148,0.7395,0.9072,0.6778,0.854,0.6023,0.8358,0.7471,0.8977,119
T0.3,30,17,0.8224,0.7521,0.9072,0.6848,0.8603,0.6153,0.8473,0.7471,0.8977,117
T0.3,30,18,0.8058,0.7615,0.8557,0.6702,0.8432,0.6288,0.8643,0.6838,0.8598,109
T0.3,30,19,0.79,0.767,0.8144,0.6623,0.8333,0.6353,0.8632,0.6428,0.8421,103
T0.3,30,20,0.7897,0.7857,0.7938,0.6577,0.8334,0.6627,0.8835,0.617,0.8291,98
T0.3,30,21,0.766,0.7912,0.7423,0.6118,0.8273,0.6709,0.8919,0.5263,0.8161,91
T0.3,30,22,0.7742,0.809,0.7423,0.6154,0.8313,0.6933,0.9032,0.5263,0.8161,89
T0.3,30,23,0.7624,0.8214,0.7113,0.5799,0.8334,0.7049,0.9091,0.4762,0.802,84
T0.3,30,24,0.7429,0.8333,0.6701,0.5591,0.8169,0.7192,0.9167,0.4431,0.7667,78
T0.3,30,25,0.7066,0.8429,0.6082,0.5169,0.8001,0.7259,0.9243,0.3829,0.7357,70
T0.3,30,26,0.6624,0.8667,0.5361,0.457,0.7667,0.75,0.9474,0.3174,0.6701,60
T0.3,30,27,0.64,0.9057,0.4948,0.4255,0.7553,0.8035,0.9787,0.2803,0.637,53
T0.3,30,28,0.6207,0.9375,0.4639,0.3999,0.7342,0.8462,1.0,0.2558,0.602,48
T0.3,30,29,0.5588,0.9744,0.3918,0.336,0.6768,0.9111,1.0,0.2038,0.5197,39
T0.3,30,30,0.339,0.9524,0.2062,0.1654,0.4747,0.8461,1.0,0.0908,0.3182,21
T0.7,5,1,0.5235,0.3663,0.9175,0.3611,0.6389,0.2351,0.5094,0.7561,0.9009,243
T0.7,5,2,0.6718,0.5333,0.9072,0.5161,0.7493,0.3895,0.6667,0.746,0.8929,165
T0.7,5,3,0.7342,0.6214,0.8969,0.5729,0.7986,0.4643,0.7438,0.7317,0.8908,140
T0.7,5,4,0.7558,0.6833,0.8454,0.6021,0.8117,0.5293,0.7953,0.6753,0.8476,120
T0.7,5,5,0.6811,0.7159,0.6495,0.5256,0.7438,0.5584,0.8333,0.4639,0.7042,88
T0.7,10,1,0.4599,0.3069,0.9175,0.3077,0.5892,0.1906,0.4449,0.7561,0.9009,290
T0.7,10,2,0.5973,0.4428,0.9175,0.4397,0.6921,0.3055,0.5795,0.7561,0.9009,201
T0.7,10,3,0.6742,0.5329,0.9175,0.52,0.7508,0.388,0.6607,0.7561,0.9009,167
T0.7,10,4,0.7068,0.5789,0.9072,0.5493,0.775,0.4274,0.704,0.746,0.8929,152
T0.7,10,5,0.7395,0.6241,0.9072,0.5824,0.8034,0.469,0.75,0.746,0.8929,141
T0.7,10,6,0.7467,0.6562,0.866,0.5909,0.8042,0.5043,0.777,0.6939,0.8679,128
T0.7,10,7,0.7545,0.6748,0.8557,0.6079,0.8101,0.5283,0.7891,0.6842,0.8598,123
T0.7,10,8,0.7524,0.6991,0.8144,0.5987,0.8048,0.5454,0.8115,0.6392,0.8273,113
T0.7,10,9,0.7411,0.73,0.7526,0.5986,0.7881,0.5833,0.8396,0.5909,0.7642,100
T0.7,10,10,0.6477,0.7215,0.5876,0.4794,0.7177,0.5522,0.8438,0.4054,0.6535,79
T0.7,30,1,0.1273,0.0681,0.9794,0.0778,0.1876,0.0408,0.1049,0.8247,0.9546,1396
T0.7,30,2,0.3084,0.183,0.9794,0.2032,0.4125,0.1152,0.2677,0.8247,0.9546,519
T0.7,30,3,0.4104,0.2596,0.9794,0.2839,0.5223,0.1698,0.3656,0.8247,0.9546,366
T0.7,30,4,0.4921,0.3298,0.9691,0.3535,0.5955,0.2222,0.4421,0.8113,0.946,285
T0.7,30,5,0.5646,0.3983,0.9691,0.4191,0.66,0.2789,0.5178,0.8113,0.946,236
T0.7,30,6,0.6084,0.4434,0.9691,0.4593,0.6994,0.3155,0.5663,0.8113,0.946,212
T0.7,30,7,0.6395,0.4772,0.9691,0.4919,0.72,0.3464,0.5938,0.8113,0.946,197
T0.7,30,8,0.674,0.5227,0.9485,0.5292,0.7449,0.3913,0.6392,0.7938,0.9277,176
T0.7,30,9,0.705,0.561,0.9485,0.5596,0.7683,0.4221,0.6772,0.7938,0.9277,164
T0.7,30,10,0.7236,0.5973,0.9175,0.5757,0.7857,0.4552,0.7144,0.7534,0.9074,149
T0.7,30,11,0.7448,0.6268,0.9175,0.5988,0.8039,0.4832,0.75,0.7534,0.9074,142
T0.7,30,12,0.7542,0.6403,0.9175,0.6057,0.8105,0.4923,0.7655,0.7534,0.9074,139
T0.7,30,13,0.7739,0.6692,0.9175,0.6277,0.8227,0.5258,0.7832,0.7534,0.9074,133
T0.7,30,14,0.7982,0.7063,0.9175,0.6554,0.8435,0.5673,0.8133,0.7534,0.9074,126
T0.7,30,15,0.8073,0.7273,0.9072,0.6633,0.8498,0.5869,0.8284,0.7439,0.8972,121
T0.7,30,16,0.8131,0.7436,0.8969,0.6667,0.8561,0.6046,0.8421,0.7294,0.8899,117
T0.7,30,17,0.8208,0.7565,0.8969,0.6778,0.8609,0.6185,0.8561,0.7294,0.8899,115
T0.7,30,18,0.8246,0.7632,0.8969,0.6824,0.8629,0.625,0.8593,0.7294,0.8899,114
T0.7,30,19,0.8309,0.7818,0.8866,0.6839,0.8677,0.6541,0.874,0.7073,0.8849,110
T0.7,30,20,0.8276,0.7925,0.866,0.6917,0.8595,0.6628,0.8829,0.6941,0.8633,106
T0.7,30,21,0.8308,0.8265,0.8351,0.7,0.8628,0.7093,0.9091,0.6632,0.8462,98
T0.7,30,22,0.8254,0.8478,0.8041,0.6933,0.8545,0.7391,0.9256,0.6336,0.8172,92
T0.7,30,23,0.8152,0.8621,0.7732,0.6885,0.8444,0.7647,0.9375,0.6091,0.7983,87
T0.7,30,24,0.8068,0.8987,0.732,0.6811,0.8344,0.8158,0.9634,0.5664,0.76,79
T0.7,30,25,0.7953,0.9189,0.701,0.6712,0.8231,0.8437,0.9753,0.5442,0.732,74
T0.7,30,26,0.7636,0.9265,0.6495,0.6299,0.7978,0.8475,0.9831,0.4861,0.6932,68
T0.7,30,27,0.7342,0.9508,0.5979,0.5827,0.7758,0.8793,1.0,0.4266,0.6542,61
T0.7,30,28,0.6974,0.9636,0.5464,0.5294,0.7606,0.9,1.0,0.3676,0.625,55
T0.7,30,29,0.5441,0.9487,0.3814,0.3647,0.629,0.8621,1.0,0.2279,0.4688,39
T0.7,30,30,0.2783,0.8889,0.1649,0.1294,0.3932,0.7273,1.0,0.0695,0.2501,18
T1.0,5,1,0.2726,0.1583,0.9794,0.1763,0.3854,0.0982,0.2451,0.8261,0.9565,600
T1.0,5,2,0.6033,0.4423,0.9485,0.4528,0.7086,0.31,0.5857,0.7835,0.9318,208
T1.0,5,3,0.7753,0.6769,0.9072,0.6228,0.8333,0.5228,0.803,0.7391,0.9016,130
T1.0,5,4,0.7725,0.7935,0.7526,0.6438,0.8161,0.671,0.8833,0.5862,0.79,92
T1.0,5,5,0.7394,0.8971,0.6289,0.6046,0.7832,0.791,0.9718,0.4667,0.6822,68
T1.0,10,1,0.176,0.0966,0.9897,0.1119,0.2568,0.0598,0.1485,0.8395,0.9615,994
T1.0,10,2,0.4482,0.2925,0.9588,0.3214,0.5598,0.2,0.4043,0.7966,0.9375,318
T1.0,10,3,0.5697,0.4071,0.9485,0.4207,0.6698,0.283,0.5323,0.7835,0.9318,226
T1.0,10,4,0.6592,0.5176,0.9072,0.5179,0.741,0.385,0.6475,0.7536,0.8923,170
T1.0,10,5,0.7545,0.6748,0.8557,0.6222,0.8089,0.5412,0.7863,0.6915,0.8679,123
T1.0,10,6,0.804,0.7843,0.8247,0.686,0.8378,0.6667,0.8729,0.6577,0.8475,102
T1.0,10,7,0.8211,0.8387,0.8041,0.6988,0.8557,0.7246,0.9149,0.6277,0.8333,93
T1.0,10,8,0.7886,0.8846,0.7113,0.653,0.8333,0.7866,0.9565,0.5321,0.7677,78
T1.0,10,9,0.7547,0.9677,0.6186,0.5695,0.8216,0.9091,1.0,0.4048,0.7129,62
T1.0,10,10,0.5652,0.9512,0.4021,0.405,0.6395,0.871,1.0,0.2561,0.4822,41
T1.0,30,1,0.0906,0.0474,1.0,0.0554,0.1411,0.0286,0.0765,0.8469,0.9712,2045
T1.0,30,2,0.2445,0.1397,0.9794,0.1608,0.3356,0.0883,0.2063,0.8247,0.9546,680
T1.0,30,3,0.3481,0.2122,0.9691,0.2414,0.4522,0.1412,0.3025,0.8113,0.946,443
T1.0,30,4,0.4253,0.2725,0.9691,0.3027,0.5327,0.1828,0.3794,0.8113,0.946,345
T1.0,30,5,0.496,0.3333,0.9691,0.3673,0.5963,0.2305,0.4482,0.8113,0.946,282
T1.0,30,6,0.5465,0.3806,0.9691,0.404,0.6434,0.2631,0.5,0.8113,0.946,247
T1.0,30,7,0.6026,0.4372,0.9691,0.4627,0.6913,0.3157,0.5572,0.8113,0.946,215
T1.0,30,8,0.6436,0.4844,0.9588,0.498,0.7238,0.3509,0.6061,0.7966,0.9375,192
T1.0,30,9,0.6667,0.511,0.9588,0.5217,0.7438,0.3786,0.6346,0.7966,0.9375,182
T1.0,30,10,0.6873,0.5494,0.9175,0.5505,0.76,0.4167,0.6746,0.7615,0.9009,162
T1.0,30,11,0.7177,0.5894,0.9175,0.5791,0.782,0.452,0.7143,0.7615,0.9009,151
T1.0,30,12,0.7574,0.6449,0.9175,0.6242,0.8107,0.5102,0.7616,0.7615,0.9009,138
T1.0,30,13,0.7665,0.6692,0.8969,0.6346,0.814,0.5367,0.7808,0.7442,0.8824,130
T1.0,30,14,0.7798,0.7025,0.8763,0.6467,0.8198,0.5714,0.8047,0.7246,0.8707,121
T1.0,30,15,0.7925,0.7304,0.866,0.6631,0.8273,0.602,0.8293,0.7128,0.8649,115
T1.0,30,16,0.8119,0.781,0.8454,0.6944,0.8384,0.6667,0.8672,0.6904,0.8468,105
T1.0,30,17,0.8083,0.8125,0.8041,0.6956,0.8343,0.7083,0.8917,0.641,0.8272,96
T1.0,30,18,0.8085,0.8352,0.7835,0.6887,0.8421,0.7319,0.9091,0.6082,0.8202,91
T1.0,30,19,0.8,0.8409,0.7629,0.6796,0.8387,0.7342,0.9167,0.5877,0.8041,88
T1.0,30,20,0.8087,0.8605,0.7629,0.6878,0.8439,0.7586,0.9334,0.5877,0.8041,86
T1.0,30,21,0.8111,0.8795,0.7526,0.6885,0.8459,0.7917,0.9418,0.578,0.7947,83
T1.0,30,22,0.8114,0.9103,0.732,0.6875,0.8485,0.8281,0.967,0.5636,0.7759,78
T1.0,30,23,0.7882,0.9178,0.6907,0.6447,0.8366,0.8378,0.9737,0.5091,0.7558,73
T1.0,30,24,0.7683,0.9403,0.6495,0.6166,0.8225,0.8642,0.9875,0.4679,0.72,67
T1.0,30,25,0.7421,0.9516,0.6082,0.5605,0.8172,0.8788,1.0,0.3983,0.7097,62
T1.0,30,26,0.7261,0.95,0.5876,0.5493,0.8,0.875,1.0,0.3874,0.6854,60
T1.0,30,27,0.7179,0.9492,0.5773,0.5333,0.7914,0.8727,1.0,0.375,0.6757,59
T1.0,30,28,0.6667,0.9434,0.5155,0.4868,0.744,0.862,1.0,0.33,0.6126,53
T1.0,30,29,0.5481,0.9737,0.3814,0.3731,0.6438,0.9091,1.0,0.2308,0.4809,38
T1.0,30,30,0.4355,1.0,0.2784,0.2807,0.5281,1.0,1.0,0.1633,0.3588,27
