cell,N,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov128_55map,1,1.0,1,2618,2332,286,2828,0.8907563025210085,0.45193798449612405,0.5996400102854205
g384_ov128_55map,3,0.0,1,26035,4583,21452,577,0.17603226425965046,0.8881782945736434,0.2938291392851418
g384_ov128_55map,3,0.0,2,16808,4432,12376,728,0.26368396001903854,0.8589147286821706,0.40349599417334303
g384_ov128_55map,3,0.0,3,12682,4146,8536,1014,0.32692004415707304,0.8034883720930233,0.46474610469678296
g384_ov128_55map,3,0.05,1,19602,4568,15034,592,0.2330374451586573,0.8852713178294573,0.36895242710604964
g384_ov128_55map,3,0.05,2,13005,4413,8592,747,0.33933102652825836,0.8552325581395349,0.48587943848059456
g384_ov128_55map,3,0.05,3,10056,4132,5924,1028,0.4108989657915672,0.8007751937984496,0.5431125131440588
g384_ov128_55map,3,0.1,1,9855,4513,5342,647,0.45794013191273464,0.8746124031007751,0.6011322011322011
g384_ov128_55map,3,0.1,2,7461,4360,3101,800,0.5843720680873877,0.8449612403100775,0.6909119721099755
g384_ov128_55map,3,0.1,3,6219,4084,2135,1076,0.6566972182022833,0.7914728682170543,0.7178135161261974
g384_ov128_55map,3,0.15,1,6054,4336,1718,824,0.7162206805417906,0.8403100775193798,0.773319065453897
g384_ov128_55map,3,0.15,2,4997,4199,798,961,0.8403041825095057,0.8137596899224806,0.8268189426011617
g384_ov128_55map,3,0.15,3,4400,3942,458,1218,0.8959090909090909,0.763953488372093,0.8246861924686192
g384_ov128_55map,3,0.2,1,5750,4254,1496,906,0.7398260869565217,0.8244186046511628,0.7798350137488543
g384_ov128_55map,3,0.2,2,4796,4119,677,1041,0.8588407005838199,0.7982558139534883,0.8274407392527119
g384_ov128_55map,3,0.2,3,4252,3869,383,1291,0.9099247412982127,0.7498062015503876,0.8221419464513388
g384_ov128_55map,3,0.25,1,5146,4003,1143,1157,0.7778857364943645,0.7757751937984496,0.776829031632059
g384_ov128_55map,3,0.25,2,4350,3874,476,1286,0.8905747126436782,0.7507751937984496,0.8147213459516298
g384_ov128_55map,3,0.25,3,3891,3640,251,1520,0.9354921613980982,0.7054263565891473,0.8043310131477185
g384_ov128_55map,3,0.3,1,5145,4003,1142,1157,0.7780369290573372,0.7757751937984496,0.776904415332363
g384_ov128_55map,3,0.3,2,4350,3874,476,1286,0.8905747126436782,0.7507751937984496,0.8147213459516298
g384_ov128_55map,3,0.3,3,3891,3640,251,1520,0.9354921613980982,0.7054263565891473,0.8043310131477185
g384_ov128_55map,3,0.35,1,5109,3986,1123,1174,0.7801918183597573,0.7724806201550387,0.7763170707955985
g384_ov128_55map,3,0.35,2,4327,3857,470,1303,0.8913797088051768,0.7474806201550388,0.8131126805101718
g384_ov128_55map,3,0.35,3,3872,3626,246,1534,0.9364669421487604,0.7027131782945737,0.8029229406554473
g384_ov128_55map,3,0.4,1,5093,3981,1112,1179,0.7816611034753583,0.7715116279069767,0.7765532039403101
g384_ov128_55map,3,0.4,2,4315,3850,465,1310,0.8922363847045192,0.7461240310077519,0.8126649076517151
g384_ov128_55map,3,0.4,3,3863,3619,244,1541,0.9368366554491327,0.7013565891472868,0.8021722265321956
g384_ov128_55map,3,0.5,1,4891,3862,1029,1298,0.7896135759558373,0.7484496124031008,0.7684807481842604
g384_ov128_55map,3,0.5,2,4167,3741,426,1419,0.8977681785457163,0.725,0.8021871984560952
g384_ov128_55map,3,0.5,3,3739,3517,222,1643,0.9406258357849693,0.6815891472868217,0.7904258905495
g384_ov128_55map,3,0.6,1,4890,3861,1029,1299,0.7895705521472393,0.7482558139534884,0.7683582089552239
g384_ov128_55map,3,0.6,2,4166,3740,426,1420,0.8977436389822372,0.7248062015503876,0.8020587604546431
g384_ov128_55map,3,0.6,3,3738,3516,222,1644,0.9406099518459069,0.6813953488372093,0.7902899527983817
g384_ov128_55map,3,0.65,1,4888,3860,1028,1300,0.7896890343698855,0.748062015503876,0.768312101910828
g384_ov128_55map,3,0.65,2,4164,3739,425,1421,0.8979346781940442,0.7246124031007752,0.8020163020163021
g384_ov128_55map,3,0.65,3,3736,3515,221,1645,0.940845824411135,0.6812015503875969,0.7902428057553957
g384_ov128_55map,3,0.7,1,4873,3853,1020,1307,0.7906833572747793,0.7467054263565891,0.7680653842320343
g384_ov128_55map,3,0.7,2,4153,3733,420,1427,0.8988682879845894,0.7234496124031008,0.8016750778481692
g384_ov128_55map,3,0.7,3,3727,3508,219,1652,0.941239602897773,0.6798449612403101,0.7894677618994036
g384_ov128_55map,3,0.75,1,4858,3845,1013,1315,0.7914779744750926,0.7451550387596899,0.7676182870832501
g384_ov128_55map,3,0.75,2,4140,3725,415,1435,0.8997584541062802,0.7218992248062015,0.8010752688172044
g384_ov128_55map,3,0.75,3,3715,3500,215,1660,0.9421265141318977,0.6782945736434108,0.7887323943661971
g384_ov128_55map,3,0.8,1,4734,3761,973,1399,0.7944655682298268,0.728875968992248,0.7602587426723267
g384_ov128_55map,3,0.8,2,4034,3636,398,1524,0.9013386217154189,0.7046511627906977,0.7909506199695453
g384_ov128_55map,3,0.8,3,3626,3419,207,1741,0.9429123000551572,0.6625968992248062,0.7782836330525837
g384_ov128_55map,3,0.85,1,4733,3760,973,1400,0.7944221424043947,0.7286821705426356,0.7601334276761346
g384_ov128_55map,3,0.85,2,4033,3635,398,1525,0.9013141581948921,0.7044573643410853,0.7908191014902642
g384_ov128_55map,3,0.85,3,3625,3418,207,1742,0.9428965517241379,0.6624031007751938,0.7781445645987478
g384_ov128_55map,3,0.9,1,4329,3461,868,1699,0.7994917994917995,0.6707364341085271,0.7294762356412687
g384_ov128_55map,3,0.9,2,3693,3341,352,1819,0.9046845383157325,0.6474806201550387,0.7547723935389133
g384_ov128_55map,3,0.9,3,3323,3138,185,2022,0.944327414986458,0.608139534883721,0.7398326063892491
g384_ov128_55map,3,0.95,1,4327,3459,868,1701,0.7993991217933903,0.6703488372093023,0.729208390429008
g384_ov128_55map,3,0.95,2,3691,3339,352,1821,0.9046328908154971,0.647093023255814,0.7544910179640719
g384_ov128_55map,3,0.95,3,3321,3136,185,2024,0.9442938873833183,0.6077519379844961,0.739535432142436
g384_ov128_55map,3,0.98,1,3061,2475,586,2685,0.8085592943482522,0.4796511627906977,0.6021165308356647
g384_ov128_55map,3,0.98,2,2585,2333,252,2827,0.9025145067698259,0.4521317829457364,0.6024531956100709
g384_ov128_55map,3,0.98,3,2314,2185,129,2975,0.9442523768366465,0.42344961240310075,0.5846936044955847
g384_ov128_55map,3,1.0,1,3059,2473,586,2687,0.8084341288002616,0.47926356589147284,0.6017763718213894
g384_ov128_55map,3,1.0,2,2583,2331,252,2829,0.9024390243902439,0.4517441860465116,0.6020922123208059
g384_ov128_55map,3,1.0,3,2312,2183,129,2977,0.9442041522491349,0.42306201550387595,0.5843147751605996
g384_ov128_55map,5,0.0,1,30616,4627,25989,533,0.15113012803762738,0.8967054263565891,0.2586650268336315
g384_ov128_55map,5,0.0,2,20208,4535,15673,625,0.22441607284243864,0.8788759689922481,0.3575370545569221
g384_ov128_55map,5,0.0,3,16432,4434,11998,726,0.26983933787731257,0.8593023255813953,0.41070766950722487
g384_ov128_55map,5,0.0,4,13862,4270,9592,890,0.3080363583898427,0.8275193798449613,0.44895384291872564
g384_ov128_55map,5,0.0,5,11183,3991,7192,1169,0.35688098005901814,0.7734496124031007,0.48840482163617455
g384_ov128_55map,5,0.05,1,22857,4613,18244,547,0.2018200113750711,0.8939922480620155,0.32930006781596893
g384_ov128_55map,5,0.05,2,15395,4518,10877,642,0.29347190646313737,0.8755813953488372,0.43960107029919726
g384_ov128_55map,5,0.05,3,12748,4415,8333,745,0.3463288358958268,0.8556201550387597,0.4930757203484477
g384_ov128_55map,5,0.05,4,10911,4257,6654,903,0.3901567225735496,0.825,0.5297741273100616
g384_ov128_55map,5,0.05,5,8996,3978,5018,1182,0.4421965317919075,0.7709302325581395,0.562023170387115
g384_ov128_55map,5,0.1,1,11048,4560,6488,600,0.41274438812454745,0.8837209302325582,0.562685093780849
g384_ov128_55map,5,0.1,2,8447,4462,3985,698,0.5282348762874394,0.8647286821705427,0.655838906445212
g384_ov128_55map,5,0.1,3,7369,4362,3007,798,0.5919392047767675,0.8453488372093023,0.6963045733897358
g384_ov128_55map,5,0.1,4,6613,4205,2408,955,0.6358687433842432,0.814922480620155,0.7143463857980124
g384_ov128_55map,5,0.1,5,5763,3935,1828,1225,0.6828040950893631,0.7625968992248062,0.7204980316762793
g384_ov128_55map,5,0.15,1,6514,4380,2134,780,0.6723979121891311,0.8488372093023255,0.7503854719890355
g384_ov128_55map,5,0.15,2,5466,4293,1173,867,0.7854006586169044,0.8319767441860465,0.8080180688876341
g384_ov128_55map,5,0.15,3,4952,4200,752,960,0.8481421647819063,0.813953488372093,0.8306962025316457
g384_ov128_55map,5,0.15,4,4597,4060,537,1100,0.8831846856645639,0.7868217054263565,0.8322230193707082
g384_ov128_55map,5,0.15,5,4178,3799,379,1361,0.9092867400670177,0.7362403100775193,0.8136645962732919
g384_ov128_55map,5,0.2,1,6165,4296,1869,864,0.6968369829683698,0.8325581395348837,0.7586754966887418
g384_ov128_55map,5,0.2,2,5220,4210,1010,950,0.8065134099616859,0.8158914728682171,0.8111753371868978
g384_ov128_55map,5,0.2,3,4753,4119,634,1041,0.8666105617504734,0.7982558139534883,0.8310299606577222
g384_ov128_55map,5,0.2,4,4437,3985,452,1175,0.8981293666892044,0.7722868217054264,0.8304678545378764
g384_ov128_55map,5,0.2,5,4050,3735,315,1425,0.9222222222222223,0.7238372093023255,0.8110749185667753
g384_ov128_55map,5,0.25,1,5480,4048,1432,1112,0.7386861313868613,0.7844961240310078,0.7609022556390977
g384_ov128_55map,5,0.25,2,4710,3957,753,1203,0.8401273885350319,0.766860465116279,0.801823708206687
g384_ov128_55map,5,0.25,3,4307,3870,437,1290,0.898537264917576,0.75,0.8175768458857082
g384_ov128_55map,5,0.25,4,4052,3750,302,1410,0.9254689042448174,0.7267441860465116,0.814155449413808
g384_ov128_55map,5,0.25,5,3710,3513,197,1647,0.946900269541779,0.6808139534883721,0.792108229988726
g384_ov128_55map,5,0.3,1,5479,4048,1431,1112,0.7388209527286002,0.7844961240310078,0.7609737757308017
g384_ov128_55map,5,0.3,2,4710,3957,753,1203,0.8401273885350319,0.766860465116279,0.801823708206687
g384_ov128_55map,5,0.3,3,4307,3870,437,1290,0.898537264917576,0.75,0.8175768458857082
g384_ov128_55map,5,0.3,4,4052,3750,302,1410,0.9254689042448174,0.7267441860465116,0.814155449413808
g384_ov128_55map,5,0.3,5,3710,3513,197,1647,0.946900269541779,0.6808139534883721,0.792108229988726
g384_ov128_55map,5,0.35,1,5438,4029,1409,1131,0.7408973887458624,0.7808139534883721,0.7603321381392716
g384_ov128_55map,5,0.35,2,4683,3939,744,1221,0.8411274823830878,0.7633720930232558,0.8003657421517829
g384_ov128_55map,5,0.35,3,4283,3853,430,1307,0.8996030819519029,0.7467054263565891,0.8160542200571852
g384_ov128_55map,5,0.35,4,4030,3734,296,1426,0.9265508684863524,0.7236434108527132,0.8126224156692057
g384_ov128_55map,5,0.35,5,3692,3500,192,1660,0.9479956663055255,0.6782945736434108,0.7907817442385902
g384_ov128_55map,5,0.4,1,5418,4024,1394,1136,0.7427094868955334,0.7798449612403101,0.7608243524295708
g384_ov128_55map,5,0.4,2,4670,3932,738,1228,0.8419700214132763,0.762015503875969,0.7999999999999999
g384_ov128_55map,5,0.4,3,4272,3846,426,1314,0.9002808988764045,0.7453488372093023,0.8155216284987278
g384_ov128_55map,5,0.4,4,4019,3727,292,1433,0.9273451107240607,0.7222868217054264,0.8120710317027998
g384_ov128_55map,5,0.4,5,3684,3493,191,1667,0.9481541802388708,0.6769379844961241,0.7899140660334689
g384_ov128_55map,5,0.5,1,5204,3908,1296,1252,0.7509607993850884,0.7573643410852713,0.7541489772288692
g384_ov128_55map,5,0.5,2,4496,3819,677,1341,0.8494217081850534,0.7401162790697674,0.7910107705053853
g384_ov128_55map,5,0.5,3,4121,3736,385,1424,0.9065760737685028,0.724031007751938,0.8050856588729662
g384_ov128_55map,5,0.5,4,3888,3623,265,1537,0.9318415637860082,0.7021317829457364,0.800839964633068
g384_ov128_55map,5,0.5,5,3567,3393,174,1767,0.9512195121951219,0.6575581395348837,0.7775867995874871
g384_ov128_55map,5,0.6,1,5203,3907,1296,1253,0.7509129348452815,0.7571705426356589,0.7540287561516935
g384_ov128_55map,5,0.6,2,4495,3818,677,1342,0.8493882091212458,0.7399224806201551,0.7908855515277058
g384_ov128_55map,5,0.6,3,4120,3735,385,1425,0.9065533980582524,0.7238372093023255,0.8049568965517241
g384_ov128_55map,5,0.6,4,3887,3622,265,1538,0.9318240288139954,0.701937984496124,0.8007074168232564
g384_ov128_55map,5,0.6,5,3566,3392,174,1768,0.9512058328659563,0.6573643410852713,0.7774467109786843
g384_ov128_55map,5,0.65,1,5200,3906,1294,1254,0.7511538461538462,0.7569767441860465,0.7540540540540541
g384_ov128_55map,5,0.65,2,4493,3817,676,1343,0.8495437346984198,0.7397286821705427,0.7908422252149592
g384_ov128_55map,5,0.65,3,4118,3734,384,1426,0.906750849927149,0.7236434108527132,0.8049148523388662
g384_ov128_55map,5,0.65,4,3885,3621,264,1539,0.932046332046332,0.7017441860465117,0.8006633499170813
g384_ov128_55map,5,0.65,5,3564,3391,173,1769,0.9514590347923682,0.6571705426356589,0.7773956900504356
g384_ov128_55map,5,0.7,1,5184,3898,1286,1262,0.751929012345679,0.7554263565891473,0.7536736272235112
g384_ov128_55map,5,0.7,2,4480,3810,670,1350,0.8504464285714286,0.7383720930232558,0.7904564315352697
g384_ov128_55map,5,0.7,3,4108,3728,380,1432,0.9074975657254138,0.7224806201550388,0.8044885627967198
g384_ov128_55map,5,0.7,4,3875,3614,261,1546,0.9326451612903226,0.7003875968992248,0.7999999999999999
g384_ov128_55map,5,0.7,5,3555,3384,171,1776,0.9518987341772152,0.6558139534883721,0.776592082616179
g384_ov128_55map,5,0.75,1,5167,3890,1277,1270,0.7528546545384168,0.7538759689922481,0.753364965624092
g384_ov128_55map,5,0.75,2,4466,3802,664,1358,0.851321092700403,0.7368217054263566,0.7899439019322667
g384_ov128_55map,5,0.75,3,4096,3720,376,1440,0.908203125,0.7209302325581395,0.8038029386343993
g384_ov128_55map,5,0.75,4,3863,3606,257,1554,0.9334713952886358,0.6988372093023256,0.7992907015405076
g384_ov128_55map,5,0.75,5,3543,3375,168,1785,0.9525825571549534,0.6540697674418605,0.7755946225439504
g384_ov128_55map,5,0.8,1,5036,3806,1230,1354,0.755758538522637,0.7375968992248062,0.7465672812867792
g384_ov128_55map,5,0.8,2,4356,3714,642,1446,0.8526170798898072,0.7197674418604652,0.7805800756620428
g384_ov128_55map,5,0.8,3,3996,3632,364,1528,0.908908908908909,0.703875968992248,0.7933595456531236
g384_ov128_55map,5,0.8,4,3769,3521,248,1639,0.9342000530644733,0.6823643410852713,0.7886661440250868
g384_ov128_55map,5,0.8,5,3459,3298,161,1862,0.9534547557097427,0.6391472868217054,0.765285996055227
g384_ov128_55map,5,0.85,1,5034,3805,1229,1355,0.755860150973381,0.7374031007751938,0.7465175593486365
g384_ov128_55map,5,0.85,2,4355,3713,642,1447,0.8525832376578645,0.7195736434108527,0.7804519180241724
g384_ov128_55map,5,0.85,3,3995,3631,364,1529,0.9088861076345431,0.7036821705426357,0.7932277444019662
g384_ov128_55map,5,0.85,4,3768,3520,248,1640,0.9341825902335457,0.6821705426356589,0.7885304659498207
g384_ov128_55map,5,0.85,5,3458,3297,161,1863,0.9534412955465587,0.638953488372093,0.7651427245300534
g384_ov128_55map,5,0.9,1,4607,3508,1099,1652,0.7614499674408509,0.6798449612403101,0.7183372581140576
g384_ov128_55map,5,0.9,2,3992,3415,577,1745,0.8554609218436874,0.6618217054263565,0.746284965034965
g384_ov128_55map,5,0.9,3,3661,3337,324,1823,0.9114995902758809,0.6467054263565891,0.7566035596871102
g384_ov128_55map,5,0.9,4,3453,3235,218,1925,0.9368664929047206,0.626937984496124,0.7511900615348891
g384_ov128_55map,5,0.9,5,3169,3027,142,2133,0.9551909119596087,0.5866279069767442,0.7268579661423941
g384_ov128_55map,5,0.95,1,4604,3506,1098,1654,0.761511728931364,0.6794573643410853,0.7181482998770996
g384_ov128_55map,5,0.95,2,3990,3413,577,1747,0.8553884711779448,0.6614341085271318,0.7460109289617485
g384_ov128_55map,5,0.95,3,3659,3335,324,1825,0.9114512161792839,0.6463178294573644,0.7563215784102506
g384_ov128_55map,5,0.95,4,3451,3233,218,1927,0.9368299043755434,0.6265503875968992,0.7509000116130531
g384_ov128_55map,5,0.95,5,3167,3025,142,2135,0.9551626144616356,0.5862403100775194,0.726552179656539
g384_ov128_55map,5,0.98,1,3266,2532,734,2628,0.775260257195346,0.4906976744186046,0.6009969143128411
g384_ov128_55map,5,0.98,2,2810,2415,395,2745,0.8594306049822064,0.4680232558139535,0.6060225846925972
g384_ov128_55map,5,0.98,3,2562,2336,226,2824,0.9117876658860266,0.45271317829457364,0.6050246050246051
g384_ov128_55map,5,0.98,4,2410,2257,153,2903,0.9365145228215768,0.4374031007751938,0.5963011889035668
g384_ov128_55map,5,0.98,5,2195,2098,97,3062,0.9558086560364465,0.4065891472868217,0.5704962610469069
g384_ov128_55map,5,1.0,1,3264,2530,734,2630,0.7751225490196079,0.4903100775193798,0.6006647673314339
g384_ov128_55map,5,1.0,2,2808,2413,395,2747,0.8593304843304843,0.4676356589147287,0.6056726907630521
g384_ov128_55map,5,1.0,3,2560,2334,226,2826,0.91171875,0.45232558139534884,0.6046632124352332
g384_ov128_55map,5,1.0,4,2408,2255,153,2905,0.9364617940199336,0.437015503875969,0.5959302325581396
g384_ov128_55map,5,1.0,5,2193,2096,97,3064,0.9557683538531692,0.4062015503875969,0.5701074391404869
