cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
g384_ov128_55map,0.7,5,4168,3747,421,1413,0.8989923224568138,0.7261627906976744,0.8033876500857632
g384_ov128_55map,0.7,6,4031,3692,339,1468,0.915901761349541,0.7155038759689922,0.8033946251768034
g384_ov128_55map,0.7,7,3906,3643,263,1517,0.9326676907322069,0.7060077519379845,0.8036620339730863
g384_ov128_55map,0.7,8,3783,3568,215,1592,0.9431667988369019,0.6914728682170542,0.7979425248797943
g384_ov128_55map,0.7,9,3636,3463,173,1697,0.9524202420242024,0.671124031007752,0.7874033651659845
g384_ov128_55map,0.7,10,3352,3221,131,1939,0.9609188544152745,0.6242248062015504,0.7568139097744362
g384_ov128_55map,0.75,1,5779,3965,1814,1195,0.6861048624329469,0.7684108527131783,0.7249291525733613
g384_ov128_55map,0.75,2,4907,3875,1032,1285,0.7896882005298553,0.750968992248062,0.7698420582099931
g384_ov128_55map,0.75,3,4533,3821,712,1339,0.842929627178469,0.7405038759689923,0.7884040028886824
g384_ov128_55map,0.75,4,4316,3773,543,1387,0.8741890639481001,0.7312015503875969,0.7963275643731533
g384_ov128_55map,0.75,5,4155,3739,416,1421,0.8998796630565583,0.7246124031007752,0.8027911969940956
g384_ov128_55map,0.75,6,4018,3684,334,1476,0.9168740666998507,0.713953488372093,0.8027892787099586
g384_ov128_55map,0.75,7,3894,3635,259,1525,0.933487416538264,0.7044573643410853,0.8029600176717474
g384_ov128_55map,0.75,8,3771,3560,211,1600,0.9440466719702997,0.689922480620155,0.797223155301758
g384_ov128_55map,0.75,9,3624,3454,170,1706,0.9530905077262694,0.6693798449612403,0.7864298724954462
g384_ov128_55map,0.75,10,3341,3213,128,1947,0.9616881173301407,0.6226744186046511,0.7559110692859663
g384_ov128_55map,0.8,1,5626,3884,1742,1276,0.6903661571276217,0.7527131782945736,0.7201928425737065
g384_ov128_55map,0.8,2,4781,3789,992,1371,0.7925120267726417,0.7343023255813953,0.7622975555779097
g384_ov128_55map,0.8,3,4421,3732,689,1428,0.8441529065822212,0.7232558139534884,0.7790418536687193
g384_ov128_55map,0.8,4,4210,3684,526,1476,0.8750593824228029,0.713953488372093,0.7863393810032017
g384_ov128_55map,0.8,5,4052,3650,402,1510,0.9007897334649556,0.7073643410852714,0.7924446374294398
g384_ov128_55map,0.8,6,3919,3597,322,1563,0.9178361826996683,0.6970930232558139,0.7923780151999119
g384_ov128_55map,0.8,7,3800,3550,250,1610,0.9342105263157895,0.687984496124031,0.7924107142857143
g384_ov128_55map,0.8,8,3678,3476,202,1684,0.945078847199565,0.6736434108527132,0.7866033039149128
g384_ov128_55map,0.8,9,3537,3374,163,1786,0.9539157478088776,0.6538759689922481,0.7758997355409911
g384_ov128_55map,0.8,10,3262,3140,122,2020,0.9625996321275291,0.6085271317829457,0.7456661125623366
g384_ov128_55map,0.85,1,5622,3883,1739,1277,0.6906794734969761,0.7525193798449612,0.7202745316267853
g384_ov128_55map,0.85,2,4778,3788,990,1372,0.7928003348681457,0.734108527131783,0.762326423827732
g384_ov128_55map,0.85,3,4418,3731,687,1429,0.8444997736532368,0.7230620155038759,0.7790770515765295
g384_ov128_55map,0.85,4,4208,3683,525,1477,0.8752376425855514,0.7137596899224806,0.7862937660119557
g384_ov128_55map,0.85,5,4051,3649,402,1511,0.9007652431498395,0.7071705426356589,0.7923135381608947
g384_ov128_55map,0.85,6,3918,3596,322,1564,0.9178152118427769,0.6968992248062016,0.7922449878827935
g384_ov128_55map,0.85,7,3799,3549,250,1611,0.9341932087391419,0.6877906976744186,0.7922759236521933
g384_ov128_55map,0.85,8,3677,3475,202,1685,0.9450639107968453,0.6734496124031008,0.7864659952472558
g384_ov128_55map,0.85,9,3536,3373,163,1787,0.9539027149321267,0.6536821705426357,0.7757589696412144
g384_ov128_55map,0.85,10,3261,3139,122,2021,0.9625881631401411,0.6083333333333333,0.7455171594822467
g384_ov128_55map,0.9,1,5139,3587,1552,1573,0.6979957190114808,0.6951550387596899,0.696572482765317
g384_ov128_55map,0.9,2,4376,3485,891,1675,0.7963893967093236,0.6753875968992248,0.7309144295302014
g384_ov128_55map,0.9,3,4052,3430,622,1730,0.8464955577492597,0.6647286821705426,0.7446808510638298
g384_ov128_55map,0.9,4,3857,3386,471,1774,0.8778843660876329,0.6562015503875969,0.7510258400798492
g384_ov128_55map,0.9,5,3714,3358,356,1802,0.9041464728056005,0.6507751937984496,0.7568176695965744
g384_ov128_55map,0.9,6,3594,3306,288,1854,0.9198664440734557,0.6406976744186047,0.7553118574366005
g384_ov128_55map,0.9,7,3480,3260,220,1900,0.9367816091954023,0.6317829457364341,0.7546296296296298
g384_ov128_55map,0.9,8,3370,3193,177,1967,0.9474777448071217,0.618798449612403,0.7486518171160609
g384_ov128_55map,0.9,9,3240,3097,143,2063,0.9558641975308642,0.6001937984496124,0.7373809523809524
g384_ov128_55map,0.9,10,2985,2881,104,2279,0.9651591289782244,0.5583333333333333,0.707427869858809
g384_ov128_55map,0.95,1,5135,3586,1549,1574,0.6983446932814021,0.6949612403100776,0.696648858669257
g384_ov128_55map,0.95,2,4374,3483,891,1677,0.7962962962962963,0.675,0.7306482064191315
g384_ov128_55map,0.95,3,4050,3428,622,1732,0.8464197530864197,0.6643410852713179,0.7444082519001085
g384_ov128_55map,0.95,4,3855,3384,471,1776,0.8778210116731517,0.6558139534883721,0.7507487520798669
g384_ov128_55map,0.95,5,3712,3356,356,1804,0.9040948275862069,0.6503875968992248,0.7565374211000901
g384_ov128_55map,0.95,6,3592,3304,288,1856,0.9198218262806236,0.6403100775193798,0.7550274223034735
g384_ov128_55map,0.95,7,3478,3258,220,1902,0.9367452558941921,0.6313953488372093,0.7543412827043297
g384_ov128_55map,0.95,8,3368,3191,177,1969,0.9474465558194775,0.6184108527131783,0.748358348968105
g384_ov128_55map,0.95,9,3238,3095,143,2065,0.9558369363804817,0.5998062015503876,0.7370802572040962
g384_ov128_55map,0.95,10,2983,2879,104,2281,0.965135769359705,0.5579457364341085,0.7071104015719023
g384_ov128_55map,0.98,1,3652,2613,1039,2547,0.7154983570646222,0.5063953488372093,0.5930549251021334
g384_ov128_55map,0.98,2,3092,2497,595,2663,0.8075679172056921,0.48391472868217056,0.6051866214251092
g384_ov128_55map,0.98,3,2851,2437,414,2723,0.8547877937565767,0.47228682170542635,0.608413431531644
g384_ov128_55map,0.98,4,2709,2388,321,2772,0.8815060908084164,0.4627906976744186,0.6069386199008768
g384_ov128_55map,0.98,5,2598,2356,242,2804,0.9068514241724404,0.4565891472868217,0.6073730342871874
g384_ov128_55map,0.98,6,2515,2313,202,2847,0.9196819085487078,0.44825581395348835,0.6027361563517915
g384_ov128_55map,0.98,7,2426,2273,153,2887,0.9369332234130255,0.44050387596899226,0.5992617980490378
g384_ov128_55map,0.98,8,2340,2222,118,2938,0.9495726495726495,0.43062015503875967,0.5925333333333332
g384_ov128_55map,0.98,9,2249,2155,94,3005,0.9582036460649177,0.4176356589147287,0.5817249291402349
g384_ov128_55map,0.98,10,2055,1990,65,3170,0.9683698296836983,0.3856589147286822,0.5516285516285516
g384_ov128_55map,1.0,1,3650,2611,1039,2549,0.7153424657534246,0.5060077519379845,0.5927355278093077
g384_ov128_55map,1.0,2,3090,2495,595,2665,0.8074433656957929,0.48352713178294576,0.604848484848485
g384_ov128_55map,1.0,3,2849,2435,414,2725,0.8546858546858547,0.47189922480620156,0.6080659258334374
g384_ov128_55map,1.0,4,2707,2386,321,2774,0.8814185445142224,0.4624031007751938,0.606584466759883
g384_ov128_55map,1.0,5,2596,2354,242,2806,0.9067796610169492,0.4562015503875969,0.6070139247034554
g384_ov128_55map,1.0,6,2513,2311,202,2849,0.9196179864703542,0.44786821705426355,0.6023719536035449
g384_ov128_55map,1.0,7,2424,2271,153,2889,0.9368811881188119,0.44011627906976747,0.5988924050632912
g384_ov128_55map,1.0,8,2338,2220,118,2940,0.9495295124037639,0.43023255813953487,0.5921579087756735
g384_ov128_55map,1.0,9,2247,2153,94,3007,0.9581664441477525,0.41724806201550385,0.5813419738085595
g384_ov128_55map,1.0,10,2053,1988,65,3172,0.9683390160740379,0.38527131782945734,0.5512269513378621
