family,prob_t,min_votes,n_detections,tp,fp,fn,micro_f1_50
FOURTH-N5,0.35,4,5827,4536,1291,482,0.8365145228215769
FOURTH-N5,0.35,5,5301,4369,932,649,0.8467874794069193
FOURTH-N5,0.4,1,8905,4713,4192,305,0.6770092652445593
FOURTH-N5,0.4,2,7089,4650,2439,368,0.7681506566449161
FOURTH-N5,0.4,3,6322,4610,1712,408,0.8130511463844796
FOURTH-N5,0.4,4,5810,4535,1275,483,0.8376431473956409
FOURTH-N5,0.4,5,5290,4368,922,650,0.8474970896391152
FOURTH-N5,0.45,1,8875,4712,4163,306,0.6783272151443173
FOURTH-N5,0.45,2,7069,4649,2420,369,0.7692562256970299
FOURTH-N5,0.45,3,6303,4609,1694,409,0.8142390248211288
FOURTH-N5,0.45,4,5796,4534,1262,484,0.8385426299241724
FOURTH-N5,0.45,5,5280,4367,913,651,0.8481258496795494
FOURTH-N5,0.55,1,8849,4710,4139,308,0.6793105934953487
FOURTH-N5,0.55,2,7049,4648,2401,370,0.7703654595176929
FOURTH-N5,0.55,3,6287,4608,1679,410,0.8152145068553737
FOURTH-N5,0.55,4,5781,4533,1248,485,0.8395221779794425
FOURTH-N5,0.55,5,5268,4366,902,652,0.8489208633093526
FOURTH-N5,0.65,1,8846,4710,4136,308,0.6794575879976918
FOURTH-N5,0.65,2,7046,4648,2398,370,0.7705570291777187
FOURTH-N5,0.65,3,6284,4608,1676,410,0.8154308971863388
FOURTH-N5,0.65,4,5778,4533,1245,485,0.8397554649870322
FOURTH-N5,0.65,5,5265,4366,899,652,0.8491685305844598
FOURTH-N5,0.7,1,8834,4710,4124,308,0.6800462027144094
FOURTH-N5,0.7,2,7038,4648,2390,370,0.7710683477106836
FOURTH-N5,0.7,3,6278,4608,1670,410,0.8158640226628895
FOURTH-N5,0.7,4,5774,4533,1241,485,0.8400667160859896
FOURTH-N5,0.7,5,5261,4366,895,652,0.849498978499854
FOURTH-N5,0.75,1,8828,4709,4119,309,0.6801964466271847
FOURTH-N5,0.75,2,7034,4647,2387,371,0.7711583139727847
FOURTH-N5,0.75,3,6276,4607,1669,411,0.815831414910572
FOURTH-N5,0.75,4,5773,4532,1241,486,0.8399592252803262
FOURTH-N5,0.75,5,5260,4365,895,653,0.8493870402802103
FOURTH-N5,0.8,1,8796,4709,4087,309,0.6817721152454033
FOURTH-N5,0.8,2,7015,4647,2368,371,0.7723759660932435
FOURTH-N5,0.8,3,6262,4607,1655,411,0.8168439716312057
FOURTH-N5,0.8,4,5762,4532,1230,486,0.8408163265306121
FOURTH-N5,0.8,5,5250,4365,885,653,0.8502142578885858
FOURTH-N5,0.85,1,8791,4709,4082,309,0.6820189731334637
FOURTH-N5,0.85,2,7011,4647,2364,371,0.7726328040568626
FOURTH-N5,0.85,3,6259,4607,1652,411,0.8170612751618338
FOURTH-N5,0.85,4,5759,4532,1227,486,0.8410503850793356
FOURTH-N5,0.85,5,5247,4365,882,653,0.8504627374573794
FOURTH-N5,0.88,1,8539,4700,3839,318,0.6933687393966217
FOURTH-N5,0.88,2,6855,4638,2217,380,0.7812684241556472
FOURTH-N5,0.88,3,6136,4599,1537,419,0.8246369015599785
FOURTH-N5,0.88,4,5652,4525,1127,493,0.8481724461105904
FOURTH-N5,0.88,5,5162,4358,804,660,0.8561886051080552
FOURTH-N5,0.9,1,8442,4698,3744,320,0.6980683506686479
FOURTH-N5,0.9,2,6781,4637,2144,381,0.7859988134587677
FOURTH-N5,0.9,3,6076,4598,1478,420,0.8289165314584461
FOURTH-N5,0.9,4,5602,4524,1078,494,0.8519774011299435
FOURTH-N5,0.9,5,5123,4357,766,661,0.859284094270782
FOURTH-N5,0.92,1,8426,4698,3728,320,0.698899137161559
FOURTH-N5,0.92,2,6771,4636,2135,382,0.7864958859954194
FOURTH-N5,0.92,3,6067,4598,1469,420,0.8295895354082093
FOURTH-N5,0.92,4,5595,4524,1071,494,0.852539338547065
FOURTH-N5,0.92,5,5117,4357,760,661,0.8597927972372965
FOURTH-N5,0.95,1,8337,4695,3642,323,0.7031074503931112
FOURTH-N5,0.95,2,6711,4632,2079,386,0.7898371557677552
FOURTH-N5,0.95,3,6017,4593,1424,425,0.832442229270503
FOURTH-N5,0.95,4,5556,4522,1034,496,0.8553054662379421
FOURTH-N5,0.95,5,5082,4355,727,663,0.8623762376237624
FOURTH-N5,0.96,1,6852,4444,2408,574,0.7487784330244313
FOURTH-N5,0.96,2,5646,4380,1266,638,0.8214553638409602
FOURTH-N5,0.96,3,5127,4349,778,669,0.8573681616559882
FOURTH-N5,0.96,4,4779,4285,494,733,0.8747575788506686
FOURTH-N5,0.96,5,4434,4139,295,879,0.8757934828607703
FOURTH-N5,0.98,1,6847,4440,2407,578,0.7484197218710492
FOURTH-N5,0.98,2,5642,4377,1265,641,0.8212007504690432
FOURTH-N5,0.98,3,5123,4346,777,672,0.8571146829701213
FOURTH-N5,0.98,4,4776,4282,494,736,0.8744129058607312
FOURTH-N5,0.98,5,4431,4136,295,882,0.8754365541327124
FOURTH-N5,0.99,1,1827,1407,420,3611,0.4111029948867787
FOURTH-N5,0.99,2,1545,1320,225,3698,0.4022550662806643
FOURTH-N5,0.99,3,1409,1266,143,3752,0.39396296872568853
FOURTH-N5,0.99,4,1311,1220,91,3798,0.38552693948491074
FOURTH-N5,0.99,5,1238,1181,57,3837,0.3775575447570333
FOURTH-N5,1.0,1,459,364,95,4654,0.1329194814679569
FOURTH-N5,1.0,2,390,335,55,4683,0.1238905325443787
FOURTH-N5,1.0,3,353,316,37,4702,0.11766896294917147
FOURTH-N5,1.0,4,329,306,23,4712,0.11445670469422106
FOURTH-N5,1.0,5,318,301,17,4717,0.11281859070464768
