condition,replication,threshold,n_passes,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
B,1,1,5,0.2622,0.1579,0.7732,0.1751,0.3345,0.1012,0.2143,0.606,0.7984,475
B,1,2,5,0.5656,0.4694,0.7113,0.4459,0.6276,0.3675,0.5583,0.5455,0.7447,147
B,1,3,5,0.6186,0.6186,0.6186,0.4814,0.6797,0.5,0.7126,0.4545,0.6696,97
B,1,4,5,0.6164,0.7903,0.5052,0.4571,0.675,0.6615,0.8864,0.3447,0.5625,62
B,1,5,5,0.4783,0.8049,0.3402,0.3049,0.5697,0.6667,0.9118,0.1972,0.4251,41
A,3,1,5,0.2842,0.1721,0.8144,0.1931,0.3684,0.1111,0.2421,0.6363,0.8406,459
A,3,2,5,0.561,0.4631,0.7113,0.4291,0.6297,0.3464,0.5615,0.5319,0.75,149
A,3,3,5,0.6064,0.6264,0.5876,0.4633,0.6762,0.4881,0.7451,0.4266,0.6386,91
A,3,4,5,0.5548,0.7414,0.4433,0.4154,0.6234,0.6111,0.8548,0.3099,0.5043,58
A,3,5,5,0.4545,0.8571,0.3093,0.2802,0.5615,0.7179,0.9722,0.1701,0.406,35
C,5,1,5,0.3114,0.1931,0.8041,0.2169,0.387,0.1292,0.2582,0.6477,0.8174,404
C,5,2,5,0.5907,0.5,0.7216,0.4689,0.6546,0.3923,0.5989,0.5604,0.7579,140
C,5,3,5,0.6492,0.6596,0.6392,0.517,0.71,0.5443,0.7648,0.4767,0.6914,94
C,5,4,5,0.5638,0.8077,0.433,0.3969,0.6533,0.7222,0.8959,0.2689,0.532,52
C,5,5,5,0.384,0.8571,0.2474,0.2093,0.5042,0.7368,0.9655,0.1196,0.353,28
E,4,1,5,0.3361,0.2111,0.8247,0.2391,0.4144,0.1449,0.2802,0.6667,0.8319,379
E,4,2,5,0.6207,0.5333,0.7423,0.514,0.6638,0.4375,0.6167,0.589,0.7636,135
E,4,3,5,0.6492,0.6596,0.6392,0.5269,0.6973,0.5529,0.7475,0.4878,0.6875,94
E,4,4,5,0.586,0.7667,0.4742,0.4285,0.671,0.6379,0.8714,0.3085,0.5644,60
E,4,5,5,0.4627,0.8378,0.3196,0.2949,0.567,0.7143,0.9445,0.1808,0.416,37
D,1,1,5,0.3046,0.1891,0.7835,0.2153,0.3786,0.1288,0.2506,0.6056,0.8165,402
D,1,2,5,0.5652,0.4887,0.6701,0.4239,0.645,0.3723,0.5973,0.4878,0.7294,133
D,1,3,5,0.6277,0.6484,0.6082,0.4736,0.7085,0.5072,0.7549,0.4348,0.6719,91
D,1,4,5,0.575,0.7302,0.4742,0.4245,0.6577,0.5942,0.8475,0.3178,0.5565,63
D,1,5,5,0.381,0.8276,0.2474,0.2208,0.4933,0.6786,0.9475,0.1308,0.3421,29
B,5,1,5,0.2528,0.1547,0.6907,0.1762,0.3203,0.1048,0.2101,0.5177,0.7252,433
B,5,2,5,0.4893,0.4191,0.5876,0.3718,0.5576,0.3305,0.5,0.4037,0.673,136
B,5,3,5,0.5193,0.5595,0.4845,0.3646,0.6083,0.4383,0.6667,0.2984,0.5865,84
B,5,4,5,0.5256,0.6949,0.4227,0.3758,0.6166,0.5636,0.8086,0.2636,0.5176,59
B,5,5,5,0.4118,0.7179,0.2887,0.2567,0.5162,0.5526,0.8649,0.1637,0.3902,39
E,2,1,5,0.2986,0.1845,0.7835,0.2051,0.3774,0.121,0.2494,0.6168,0.8041,412
E,2,2,5,0.6068,0.5182,0.732,0.4796,0.6772,0.4113,0.6268,0.5681,0.7627,137
E,2,3,5,0.663,0.7011,0.6289,0.5393,0.717,0.5999,0.7957,0.4777,0.6787,87
E,2,4,5,0.5621,0.7679,0.4433,0.3876,0.6586,0.6486,0.8824,0.2752,0.5543,56
E,2,5,5,0.339,0.9524,0.2062,0.1724,0.4717,0.8421,1.0,0.0952,0.3137,21
C,4,1,5,0.3096,0.1929,0.7835,0.2256,0.3772,0.1371,0.25,0.6154,0.8049,394
C,4,2,5,0.5907,0.5,0.7216,0.4706,0.6442,0.4045,0.5764,0.5466,0.7614,140
C,4,3,5,0.6413,0.6782,0.6082,0.495,0.7067,0.5454,0.7792,0.4364,0.6667,87
C,4,4,5,0.543,0.7593,0.4227,0.3999,0.6143,0.6346,0.8889,0.2868,0.4898,54
C,4,5,5,0.2712,0.7619,0.1649,0.1481,0.3609,0.5714,0.9583,0.0833,0.2289,21
A,1,1,5,0.2784,0.1693,0.7835,0.1918,0.3462,0.1124,0.2233,0.6207,0.8051,449
A,1,2,5,0.6114,0.5303,0.7216,0.4817,0.6691,0.4193,0.6225,0.5521,0.75,132
A,1,3,5,0.6596,0.6813,0.6392,0.5194,0.7247,0.5521,0.7846,0.4687,0.6932,91
A,1,4,5,0.5584,0.7544,0.4433,0.3899,0.6462,0.6393,0.85,0.2752,0.5334,57
A,1,5,5,0.4496,0.9062,0.299,0.2817,0.544,0.7894,1.0,0.1695,0.3827,32
B,2,1,5,0.275,0.1663,0.7938,0.1791,0.3607,0.1034,0.2352,0.6269,0.8191,463
B,2,2,5,0.583,0.48,0.7423,0.4636,0.6489,0.3723,0.579,0.5795,0.7769,150
B,2,3,5,0.663,0.7011,0.6289,0.5161,0.7358,0.5873,0.8,0.4524,0.7011,87
B,2,4,5,0.5806,0.7759,0.4639,0.403,0.6794,0.6315,0.8857,0.2844,0.575,58
B,2,5,5,0.3548,0.8148,0.2268,0.1774,0.4698,0.6364,0.9524,0.1042,0.3177,27
A,2,1,5,0.3114,0.1904,0.8557,0.2263,0.3794,0.1335,0.2507,0.6886,0.8624,436
A,2,2,5,0.6293,0.5407,0.7526,0.4938,0.6967,0.424,0.6409,0.5833,0.7765,135
A,2,3,5,0.6989,0.7303,0.6701,0.5472,0.7606,0.6065,0.8317,0.4896,0.7174,89
A,2,4,5,0.6424,0.7794,0.5464,0.4957,0.6953,0.6479,0.88,0.3943,0.5913,68
A,2,5,5,0.4627,0.8378,0.3196,0.3221,0.5484,0.6956,0.9429,0.2024,0.3964,37
A,5,1,5,0.2874,0.1776,0.7526,0.1911,0.3724,0.1124,0.2472,0.5729,0.7868,411
A,5,2,5,0.5957,0.5072,0.7216,0.4631,0.6617,0.3939,0.6022,0.54,0.7596,138
A,5,3,5,0.6526,0.6667,0.6392,0.5223,0.7049,0.5529,0.7544,0.4782,0.6875,93
A,5,4,5,0.6098,0.7463,0.5155,0.4746,0.6705,0.619,0.8451,0.3658,0.5766,67
A,5,5,5,0.4,0.7879,0.268,0.2516,0.5,0.6174,0.926,0.1538,0.3552,33
A,4,1,5,0.2751,0.166,0.8041,0.1915,0.3463,0.1118,0.2238,0.6421,0.8229,470
A,4,2,5,0.5462,0.4474,0.701,0.4255,0.6148,0.3458,0.5412,0.5364,0.7392,152
A,4,3,5,0.601,0.6042,0.5979,0.4714,0.6556,0.5,0.6937,0.4421,0.6364,96
A,4,4,5,0.6296,0.7846,0.5258,0.4816,0.6968,0.6596,0.8824,0.3688,0.5856,65
A,4,5,5,0.4462,0.8788,0.299,0.3063,0.5273,0.7419,0.9762,0.1889,0.3694,33
E,5,1,5,0.29,0.1774,0.7938,0.1938,0.3633,0.1136,0.2386,0.621,0.8176,434
E,5,2,5,0.5882,0.4965,0.7216,0.4561,0.6459,0.3838,0.589,0.5556,0.7482,141
E,5,3,5,0.6421,0.6559,0.6289,0.5,0.6977,0.5205,0.7609,0.4712,0.6667,93
E,5,4,5,0.5697,0.6912,0.4845,0.4148,0.6379,0.5424,0.8089,0.3279,0.5488,68
E,5,5,5,0.3817,0.7353,0.2577,0.2314,0.482,0.5517,0.8685,0.1402,0.3455,34
D,2,1,5,0.2911,0.1782,0.7938,0.1921,0.3803,0.1135,0.2506,0.6195,0.8144,432
D,2,2,5,0.575,0.4825,0.7113,0.4298,0.6608,0.3544,0.5973,0.5287,0.7565,143
D,2,3,5,0.6562,0.6632,0.6495,0.4999,0.722,0.5333,0.7742,0.4742,0.6953,95
D,2,4,5,0.6076,0.7869,0.4948,0.4553,0.6794,0.653,0.8889,0.3375,0.5727,61
D,2,5,5,0.4925,0.8919,0.3402,0.3009,0.6015,0.7692,0.9756,0.1848,0.4476,37
C,3,1,5,0.3119,0.1923,0.8247,0.2147,0.3966,0.1271,0.2637,0.6354,0.8571,416
C,3,2,5,0.6068,0.5182,0.732,0.4751,0.6758,0.4083,0.6154,0.5616,0.7643,137
C,3,3,5,0.6374,0.6824,0.5979,0.4606,0.7157,0.5278,0.7975,0.4024,0.6599,85
C,3,4,5,0.6415,0.8226,0.5258,0.48,0.7053,0.6935,0.9181,0.3603,0.6017,62
C,3,5,5,0.5143,0.8372,0.3711,0.3606,0.5931,0.6938,0.9429,0.2348,0.4423,43
