item_id,current_queue_index,reasons,verdict,displacement_m,n_candidates_in_range,n_marks_sharing_partner,marked_at
promoted_phantom:21,212,rule_consistency,distinct,5.47710873555318,,,2026-08-05T04:03:38.898565+00:00
promoted_phantom:23,213,rule_consistency,distinct,4.148418937614452,,,2026-08-05T04:03:55.540251+00:00
promoted_phantom:24,214,rule_consistency,distinct,3.460874135607657,,,2026-08-05T04:04:04.732100+00:00
promoted_phantom:34,215,rule_consistency,distinct,12.823264018995827,,,2026-08-05T04:12:45.158321+00:00
promoted_phantom:36,216,rule_consistency,distinct,1.6579637269230656,,,2026-08-05T04:12:57.688993+00:00
promoted_phantom:40,217,rule_consistency,same_as_neighbour,118.81402981592196,,,2026-08-05T04:30:48.742512+00:00
promoted_phantom:42,218,rule_consistency,distinct,12.91502935705604,,,2026-08-05T04:31:13.541861+00:00
promoted_phantom:45,219,rule_consistency,distinct,12.91113301354342,,,2026-08-05T04:42:11.901545+00:00
promoted_phantom:48,220,rule_consistency,distinct,7.3834887497688335,,,2026-08-05T04:42:42.384254+00:00
promoted_phantom:56,221,rule_consistency,distinct,4.849024517312042,,,2026-08-05T04:43:21.860848+00:00
promoted_phantom:57,222,rule_consistency+partner_ambiguity+double_claim,same_as_neighbour,111.78133887693872,2.0,2.0,2026-08-05T04:43:47.934138+00:00
promoted_phantom:68,223,rule_consistency,same_as_neighbour,125.2711427466074,,,2026-08-05T04:45:10.221388+00:00
promoted_phantom:71,224,rule_consistency,distinct,1.4409858241017044,,,2026-08-05T04:45:30.744396+00:00
promoted_phantom:73,225,rule_consistency,distinct,5.968157735789449,,,2026-08-05T04:45:54.178896+00:00
promoted_phantom:76,226,rule_consistency,distinct,2.652253763188795,,,2026-08-05T04:46:16.394948+00:00
promoted_phantom:80,227,rule_consistency,distinct,10.90594074220677,,,2026-08-05T04:48:41.769081+00:00
promoted_phantom:86,228,rule_consistency,distinct,4.847781412585507,,,2026-08-05T04:49:30.910578+00:00
promoted_phantom:90,229,rule_consistency,distinct,0.8881430438989311,,,2026-08-05T04:49:46.949893+00:00
promoted_phantom:94,230,rule_consistency,same_as_neighbour,94.34359606296889,,,2026-08-05T04:50:09.383811+00:00
