a,b,delta_f1,p_value,bh_adjusted_p,significant
fourth-N10-oracle,arm2-N3-oracle,-0.0031938173912328116,0.5298,0.572757,False
arm1-N1-carried,arm1-N1-oracle,-0.05442771416773007,0.0001,0.000162,True
arm1-N1-carried,arm2-N1-carried,-0.05868732745569505,0.0001,0.000162,True
arm1-N1-carried,arm2-N1-oracle,-0.07288301705293254,0.0001,0.000162,True
arm1-N1-carried,arm1-N3-carried,-0.0583411321421905,0.0001,0.000162,True
arm1-N1-carried,arm1-N3-oracle,-0.08106051778148937,0.0001,0.000162,True
arm1-N1-carried,arm2-N3-carried,-0.09103842846132593,0.0001,0.000162,True
arm1-N1-carried,arm2-N3-oracle,-0.09559152125402537,0.0001,0.000162,True
arm1-N1-oracle,arm2-N1-carried,-0.004259613287964981,0.2989,0.3416,False
arm1-N1-oracle,arm2-N1-oracle,-0.018455302885202474,0.0001,0.000162,True
arm1-N1-oracle,arm1-N3-carried,-0.003913417974460431,0.4546,0.495927,False
arm1-N1-oracle,arm1-N3-oracle,-0.026632803613759304,0.0001,0.000162,True
arm1-N1-oracle,arm2-N3-carried,-0.03661071429359586,0.0001,0.000162,True
arm1-N1-oracle,arm2-N3-oracle,-0.0411638070862953,0.0001,0.000162,True
arm2-N1-carried,arm2-N1-oracle,-0.014195689597237493,0.0007,0.001105,True
arm2-N1-carried,arm1-N3-carried,0.00034619531350454924,0.9356,0.946286,False
arm2-N1-carried,arm1-N3-oracle,-0.022373190325794323,0.0001,0.000162,True
arm2-N1-carried,arm2-N3-carried,-0.03235110100563088,0.0001,0.000162,True
arm2-N1-carried,arm2-N3-oracle,-0.03690419379833032,0.0001,0.000162,True
arm2-N1-oracle,arm1-N3-carried,0.014541884910742042,0.0081,0.011711,True
arm2-N1-oracle,arm1-N3-oracle,-0.00817750072855683,0.0759,0.095874,False
arm2-N1-oracle,arm2-N3-carried,-0.018155411408393385,0.001,0.001558,True
arm2-N1-oracle,arm2-N3-oracle,-0.022708504201092827,0.0001,0.000162,True
arm1-N3-carried,arm1-N3-oracle,-0.022719385639298872,0.0001,0.000162,True
arm1-N3-carried,arm2-N3-carried,-0.03269729631913543,0.0001,0.000162,True
arm1-N3-carried,arm2-N3-oracle,-0.03725038911183487,0.0001,0.000162,True
arm1-N3-oracle,arm2-N3-carried,-0.009977910679836555,0.004,0.005926,True
arm1-N3-oracle,arm2-N3-oracle,-0.014531003472535997,0.0001,0.000162,True
arm2-N3-carried,arm2-N3-oracle,-0.0045530927926994424,0.0001,0.000162,True
