cell,prob_t,min_votes,n_detections,tp,fp,fn,precision,recall,corrected_f1
arm2,0.08,2,6559,4730,1829,430,0.7211465162372312,0.9166666666666666,0.807236112296271
arm2,0.08,3,5980,4669,1311,491,0.7807692307692308,0.9048449612403101,0.8382405745062836
arm2,0.08,4,5578,4598,980,562,0.8243097884546432,0.8910852713178294,0.8563978394486869
arm2,0.08,5,5155,4462,693,698,0.8655674102812803,0.8647286821705427,0.8651478429471643
arm2,0.1,1,7764,4795,2969,365,0.6175940236991242,0.9292635658914729,0.7420303311668215
arm2,0.1,2,6558,4730,1828,430,0.7212564806343398,0.9166666666666666,0.807305000853388
arm2,0.1,3,5979,4669,1310,491,0.7808998160227463,0.9048449612403101,0.8383158272735436
arm2,0.1,4,5577,4598,979,562,0.8244575936883629,0.8910852713178294,0.8564776008195958
arm2,0.1,5,5155,4462,693,698,0.8655674102812803,0.8647286821705427,0.8651478429471643
arm2,0.15,1,7601,4794,2807,366,0.6307064859886857,0.9290697674418604,0.7513517749392681
arm2,0.15,2,6453,4729,1724,431,0.7328374399504106,0.9164728682170543,0.814432101954706
arm2,0.15,3,5905,4666,1239,494,0.7901778154106689,0.9042635658914728,0.8433800271125169
arm2,0.15,4,5519,4595,924,565,0.8325783656459503,0.8905038759689923,0.8605674688641258
arm2,0.15,5,5116,4459,657,701,0.8715793588741204,0.8641472868217054,0.8678474114441417
arm2,0.2,1,7385,4786,2599,374,0.648070412999323,0.9275193798449612,0.7630131526504584
arm2,0.2,2,6303,4721,1582,439,0.7490084086942725,0.914922480620155,0.8236936229608305
arm2,0.2,3,5784,4660,1124,500,0.80567081604426,0.9031007751937985,0.851608187134503
arm2,0.2,4,5419,4590,829,570,0.8470197453404688,0.8895348837209303,0.8677568768314587
arm2,0.2,5,5043,4454,589,706,0.8832044418005156,0.8631782945736434,0.873076546113888
arm2,0.25,1,7359,4786,2573,374,0.6503601032749015,0.9275193798449612,0.7645978113267833
arm2,0.25,2,6289,4721,1568,439,0.7506757831133726,0.914922480620155,0.8247008472355664
arm2,0.25,3,5772,4660,1112,500,0.8073458073458073,0.9031007751937985,0.8525429930479327
arm2,0.25,4,5410,4590,820,570,0.8484288354898336,0.8895348837209303,0.8684957426679281
arm2,0.25,5,5036,4454,582,706,0.8844320889594917,0.8631782945736434,0.873675951353472
arm2,0.3,1,7322,4786,2536,374,0.653646544659929,0.9275193798449612,0.7668642845697805
arm2,0.3,2,6263,4721,1542,439,0.7537921124061951,0.914922480620155,0.8265779567539174
arm2,0.3,3,5754,4660,1094,500,0.8098713938129997,0.9031007751937985,0.8539490562580173
arm2,0.3,4,5397,4590,807,570,0.8504724847137298,0.8895348837209303,0.8695652173913044
arm2,0.3,5,5026,4454,572,706,0.886191802626343,0.8631782945736434,0.8745336736697428
arm2,0.35,1,7320,4786,2534,374,0.6538251366120219,0.9275193798449612,0.7669871794871795
arm2,0.35,2,6262,4721,1541,439,0.7539124880229958,0.914922480620155,0.8266503239362634
arm2,0.35,3,5754,4660,1094,500,0.8098713938129997,0.9031007751937985,0.8539490562580173
arm2,0.35,4,5397,4590,807,570,0.8504724847137298,0.8895348837209303,0.8695652173913044
arm2,0.35,5,5026,4454,572,706,0.886191802626343,0.8631782945736434,0.8745336736697428
arm2,0.4,1,7306,4786,2520,374,0.6550780180673419,0.9275193798449612,0.7678485480506979
arm2,0.4,2,6251,4721,1530,439,0.7552391617341225,0.914922480620155,0.8274472000701079
arm2,0.4,3,5745,4660,1085,500,0.8111401218450827,0.9031007751937985,0.8546538285190279
arm2,0.4,4,5389,4590,799,570,0.8517350157728707,0.8895348837209303,0.8702246658451038
arm2,0.4,5,5020,4454,566,706,0.8872509960159363,0.8631782945736434,0.8750491159135559
arm2,0.45,1,7292,4786,2506,374,0.656335710367526,0.9275193798449612,0.7687118535175071
arm2,0.45,2,6242,4721,1521,439,0.756328099967959,0.914922480620155,0.828100333274864
arm2,0.45,3,5738,4660,1078,500,0.8121296619031021,0.9031007751937985,0.855202789502661
arm2,0.45,4,5383,4590,793,570,0.8526843767415939,0.8895348837209303,0.8707199089443233
arm2,0.45,5,5017,4454,563,706,0.8877815427546343,0.8631782945736434,0.8753070649503782
arm2,0.55,1,7278,4784,2494,376,0.6573234405056334,0.9271317829457364,0.7692555073162888
arm2,0.55,2,6232,4719,1513,441,0.7572207958921694,0.9145348837209303,0.8284761235955056
arm2,0.55,3,5729,4658,1071,502,0.8130563798219584,0.9027131782945736,0.855542290384792
arm2,0.55,4,5375,4588,787,572,0.8535813953488373,0.8891472868217054,0.8710014238253441
arm2,0.55,5,5011,4453,558,707,0.8886449810417082,0.862984496124031,0.8756267820273326
arm2,0.65,1,7276,4784,2492,376,0.657504123144585,0.9271317829457364,0.769379221614667
arm2,0.65,2,6231,4719,1512,441,0.7573423206547906,0.9145348837209303,0.8285488543587043
arm2,0.65,3,5729,4658,1071,502,0.8130563798219584,0.9027131782945736,0.855542290384792
arm2,0.65,4,5375,4588,787,572,0.8535813953488373,0.8891472868217054,0.8710014238253441
arm2,0.65,5,5011,4453,558,707,0.8886449810417082,0.862984496124031,0.8756267820273326
arm2,0.7,1,7267,4784,2483,376,0.6583184257602862,0.9271317829457364,0.7699364287438641
arm2,0.7,2,6227,4719,1508,441,0.7578288100208769,0.9145348837209303,0.8288399051550014
arm2,0.7,3,5726,4658,1068,502,0.8134823611596228,0.9027131782945736,0.8557780635678854
arm2,0.7,4,5372,4588,784,572,0.8540580789277736,0.8891472868217054,0.8712495252563616
arm2,0.7,5,5009,4453,556,707,0.8889998003593531,0.862984496124031,0.8757989969515192
arm2,0.75,1,7264,4784,2480,376,0.6585903083700441,0.9271317829457364,0.7701223438506118
arm2,0.75,2,6224,4719,1505,441,0.758194087403599,0.9145348837209303,0.829058327477161
arm2,0.75,3,5724,4658,1066,502,0.8137665967854647,0.9027131782945736,0.8559353178978316
arm2,0.75,4,5370,4588,782,572,0.8543761638733706,0.8891472868217054,0.871415004748338
arm2,0.75,5,5008,4453,555,707,0.8891773162939297,0.862984496124031,0.8758851298190402
arm2,0.8,1,7248,4784,2464,376,0.6600441501103753,0.9271317829457364,0.7711154094132818
arm2,0.8,2,6212,4719,1493,441,0.7596587250482936,0.9145348837209303,0.8299331691874782
arm2,0.8,3,5714,4658,1056,502,0.8151907595379769,0.9027131782945736,0.8567224572374472
arm2,0.8,4,5361,4588,773,572,0.8558104831188211,0.8891472868217054,0.8721604410227165
arm2,0.8,5,5003,4453,550,707,0.8900659604237458,0.862984496124031,0.8763160484109023
arm2,0.85,1,7246,4784,2462,376,0.660226331769252,0.9271317829457364,0.7712397227148154
arm2,0.85,2,6210,4719,1491,441,0.759903381642512,0.9145348837209303,0.8300791556728233
arm2,0.85,3,5713,4658,1055,502,0.8153334500262559,0.9027131782945736,0.8568012508047457
arm2,0.85,4,5361,4588,773,572,0.8558104831188211,0.8891472868217054,0.8721604410227165
arm2,0.85,5,5003,4453,550,707,0.8900659604237458,0.862984496124031,0.8763160484109023
arm2,0.88,1,7120,4780,2340,380,0.6713483146067416,0.9263565891472868,0.7785016286644951
arm2,0.88,2,6136,4715,1421,445,0.7684159061277706,0.9137596899224806,0.8348087818696883
arm2,0.88,3,5654,4654,1000,506,0.8231340643792006,0.9019379844961241,0.8607360828555576
arm2,0.88,4,5316,4584,732,576,0.8623024830699775,0.8883720930232558,0.875143184421535
arm2,0.88,5,4969,4450,519,710,0.8955524250352184,0.8624031007751938,0.8786652186790403
arm2,0.9,1,7055,4773,2282,387,0.6765414599574769,0.925,0.781498158002456
arm2,0.9,2,6088,4706,1382,454,0.7729960578186597,0.912015503875969,0.8367709815078236
arm2,0.9,3,5621,4646,975,514,0.8265433196940046,0.9003875968992248,0.8618866524441146
arm2,0.9,4,5289,4577,712,583,0.8653809793911893,0.887015503875969,0.8760646951861422
arm2,0.9,5,4950,4445,505,715,0.897979797979798,0.8614341085271318,0.8793273986152323
arm2,0.92,1,7041,4773,2268,387,0.677886663826161,0.925,0.7823948856651094
arm2,0.92,2,6080,4705,1375,455,0.7738486842105263,0.9118217054263565,0.8371886120996441
arm2,0.92,3,5614,4645,969,515,0.8273957962237264,0.9001937984496124,0.8622609987005755
arm2,0.92,4,5286,4576,710,584,0.8656829360575105,0.8868217054263566,0.8761248324717597
arm2,0.92,5,4947,4444,503,716,0.8983222154841318,0.8612403100775193,0.8793905214207975
arm2,0.95,1,6988,4766,2222,394,0.6820263308528907,0.9236434108527132,0.7846559104379321
arm2,0.95,2,6037,4698,1339,462,0.7782010932582408,0.9104651162790698,0.8391533446458873
arm2,0.95,3,5579,4639,940,521,0.8315110234809105,0.899031007751938,0.863953813204209
arm2,0.95,4,5257,4571,686,589,0.8695073235685752,0.8858527131782946,0.8776039166746664
arm2,0.95,5,4924,4440,484,720,0.9017059301380991,0.8604651162790697,0.8806029353431178
arm2,0.96,1,5924,4463,1461,697,0.7533760972316003,0.8649224806201551,0.8053049440635149
arm2,0.96,2,5174,4390,784,770,0.8484731349052957,0.8507751937984496,0.8496226049932263
arm2,0.96,3,4849,4343,506,817,0.8956485873375953,0.8416666666666667,0.86781896293336
arm2,0.96,4,4615,4284,331,876,0.9282773564463705,0.8302325581395349,0.8765217391304349
arm2,0.96,5,4378,4171,207,989,0.9527181361352216,0.8083333333333333,0.8746068358146363
arm2,0.98,1,5923,4463,1460,697,0.7535032922505487,0.8649224806201551,0.8053776053415141
arm2,0.98,2,5173,4390,783,770,0.8486371544558283,0.8507751937984496,0.8497048291880381
arm2,0.98,3,4848,4343,505,817,0.8958333333333334,0.8416666666666667,0.8679056754596324
arm2,0.98,4,4615,4284,331,876,0.9282773564463705,0.8302325581395349,0.8765217391304349
arm2,0.98,5,4378,4171,207,989,0.9527181361352216,0.8083333333333333,0.8746068358146363
arm2,0.99,1,1622,1354,268,3806,0.8347718865598027,0.2624031007751938,0.39929224417575937
arm2,0.99,2,1417,1279,138,3881,0.9026111503175723,0.24786821705426357,0.38893112361258936
arm2,0.99,3,1321,1237,84,3923,0.9364118092354277,0.23972868217054263,0.38173121431877793
arm2,0.99,4,1255,1206,49,3954,0.9609561752988047,0.23372093023255813,0.3759937646141855
arm2,0.99,5,1198,1167,31,3993,0.9741235392320534,0.22616279069767442,0.3670965712488204
arm2,1.0,1,415,349,66,4811,0.8409638554216867,0.06763565891472868,0.1252017937219731
arm2,1.0,2,371,329,42,4831,0.8867924528301887,0.06375968992248061,0.11896582896402097
arm2,1.0,3,346,315,31,4845,0.9104046242774566,0.061046511627906974,0.11442063203777697
arm2,1.0,4,320,305,15,4855,0.953125,0.05910852713178295,0.11131386861313868
arm2,1.0,5,309,299,10,4861,0.9676375404530745,0.057945736434108525,0.10934357286524043
