strategy,config,precision,recall,f1,tp,fp,fn,ci_low,ci_high
unanimous,within_4,1.0000,0.2105,0.3478,4,0,15,0.0000,0.8000
unanimous,within_5,0.0000,0.0000,0.0000,0,0,19,0.0000,0.0000
pr_optimised,gen_small_filt_medium_t1,0.2885,0.7895,0.4225,15,37,4,0.1728,0.6786
pr_optimised,gen_small_filt_medium_t2,0.3023,0.6842,0.4194,13,30,6,0.1573,0.6557
pr_optimised,gen_small_filt_large_t1,0.5000,0.3684,0.4242,7,7,12,0.0000,0.6001
pr_optimised,gen_small_filt_large_t2,0.6364,0.3684,0.4667,7,4,12,0.0000,0.7144
pr_optimised,gen_medium_filt_large_t2,1.0000,0.3158,0.4800,6,0,13,0.0000,0.8948
f1_weighted,within_1_thresh_0.3,0.2603,1.0000,0.4130,19,54,0,0.1449,0.6590
f1_weighted,within_1_thresh_0.4,0.3600,0.9474,0.5217,18,32,1,0.2041,0.8049
f1_weighted,within_1_thresh_0.5,0.4412,0.7895,0.5660,15,19,4,0.2461,0.8333
f1_weighted,within_1_thresh_0.6,0.5714,0.6316,0.6000,12,9,7,0.2962,0.8261
f1_weighted,within_1_thresh_0.7,0.6000,0.3158,0.4138,6,4,13,0.0000,0.6958
f1_weighted,within_2_thresh_0.3,0.2836,1.0000,0.4419,19,48,0,0.1562,0.7010
f1_weighted,within_2_thresh_0.4,0.3500,0.7368,0.4746,14,26,5,0.2040,0.7442
f1_weighted,within_2_thresh_0.5,0.4483,0.6842,0.5417,13,16,6,0.2667,0.7442
f1_weighted,within_2_thresh_0.6,0.6667,0.4211,0.5161,8,4,11,0.2000,0.7500
f1_weighted,within_2_thresh_0.7,0.6000,0.3158,0.4138,6,4,13,0.0000,0.6958
f1_weighted,within_3_thresh_0.3,0.3158,0.9474,0.4737,18,39,1,0.1786,0.7097
f1_weighted,within_3_thresh_0.4,0.3871,0.6316,0.4800,12,19,7,0.2353,0.6500
f1_weighted,within_3_thresh_0.5,0.4231,0.5789,0.4889,11,15,8,0.2033,0.6750
f1_weighted,within_3_thresh_0.6,0.7778,0.3684,0.5000,7,2,12,0.0000,0.7500
f1_weighted,within_3_thresh_0.7,0.8333,0.2632,0.4000,5,1,14,0.0000,0.7273
f1_weighted,within_4_thresh_0.3,0.3269,0.8947,0.4789,17,35,2,0.1598,0.7274
f1_weighted,within_4_thresh_0.4,0.6364,0.3684,0.4667,7,4,12,0.0000,0.7144
f1_weighted,within_4_thresh_0.5,0.6364,0.3684,0.4667,7,4,12,0.0000,0.7144
f1_weighted,within_4_thresh_0.6,0.7778,0.3684,0.5000,7,2,12,0.0000,0.7500
f1_weighted,within_4_thresh_0.7,0.8333,0.2632,0.4000,5,1,14,0.0000,0.7273
f1_weighted,within_5_thresh_0.3,0.3902,0.8421,0.5333,16,25,3,0.1905,0.7619
f1_weighted,within_5_thresh_0.4,0.7500,0.1579,0.2609,3,1,16,0.0000,0.4617
f1_weighted,within_5_thresh_0.5,0.7500,0.1579,0.2609,3,1,16,0.0000,0.4617
f1_weighted,within_5_thresh_0.6,0.7500,0.1579,0.2609,3,1,16,0.0000,0.4617
f1_weighted,within_5_thresh_0.7,0.6667,0.1053,0.1818,2,1,17,0.0000,0.2857
fine_to_coarse,medium_large_conf5_unc2-4,0.4615,0.6316,0.5333,12,14,7,0.2162,0.7844
fine_to_coarse,medium_large_conf4_unc2-3,0.3714,0.6842,0.4815,13,22,6,0.1632,0.7408
fine_to_coarse,medium_large_conf4_unc1-3,0.2917,0.7368,0.4179,14,34,5,0.1683,0.6667
fine_to_coarse,small_large_conf5_unc2-4,0.3333,0.8947,0.4857,17,34,2,0.2034,0.6813
fine_to_coarse,small_large_conf4_unc2-3,0.2361,0.8947,0.3736,17,55,2,0.1395,0.5625
fine_to_coarse,small_medium_conf5_unc2-4,0.2133,0.8421,0.3404,16,59,3,0.1134,0.5672
fine_to_coarse,small_medium_conf4_unc2-3,0.1889,0.8947,0.3119,17,73,2,0.1132,0.5092
