tile_size,label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,n_runs,n_detections
512,P2d Image terse,40,0.6951,0.6542,0.7294,0.5899,0.5418,0.6318,0.846,0.8041,0.8849,1,
512,P2d Image terse,50,0.7165,0.6754,0.7504,0.608,0.5572,0.6529,0.872,0.8333,0.9094,1,
512,P2d Image verbose,20,0.6027,0.5541,0.6473,0.5202,0.4684,0.5667,0.7161,0.6615,0.7683,1,
512,P2d Image verbose,30,0.6682,0.6225,0.7106,0.5768,0.5255,0.6231,0.7941,0.7428,0.8439,1,
512,P2d Image verbose,40,0.7104,0.6688,0.7456,0.6132,0.5626,0.6558,0.8442,0.8006,0.8842,1,
512,P2d Image verbose,50,0.726,0.6863,0.7611,0.6267,0.5753,0.6707,0.8627,0.8234,0.8998,1,
512,P2d Text terse,20,0.5984,0.5368,0.6507,0.485,0.4197,0.5463,0.7811,0.7265,0.8307,1,
512,P2d Text terse,30,0.6269,0.5656,0.6796,0.5081,0.4432,0.5713,0.8182,0.7677,0.8648,1,
512,P2d Text terse,40,0.6439,0.5846,0.6977,0.5219,0.4555,0.5849,0.8404,0.7959,0.8823,1,
512,P2d Text terse,50,0.6539,0.5989,0.7078,0.53,0.4635,0.5943,0.8534,0.8118,0.8931,1,
512,P2d Text verbose,20,0.5834,0.5254,0.6362,0.4887,0.4236,0.5457,0.7236,0.6659,0.7821,1,
512,P2d Text verbose,30,0.6298,0.5731,0.6796,0.5276,0.4628,0.5893,0.7811,0.7299,0.8331,1,
512,P2d Text verbose,40,0.6552,0.6002,0.7038,0.5489,0.4834,0.608,0.8126,0.764,0.8623,1,
512,P2d Text verbose,50,0.6672,0.6135,0.7153,0.5589,0.4931,0.6183,0.8275,0.7857,0.8712,1,
512,P2e Canonical first,20,0.5985,0.5467,0.6453,0.5084,0.4573,0.5561,0.7273,0.668,0.7849,1,
512,P2e Canonical first,30,0.6641,0.6174,0.706,0.5642,0.515,0.609,0.8071,0.7554,0.8574,1,
512,P2e Canonical first,40,0.7145,0.6736,0.7493,0.607,0.5569,0.6491,0.8683,0.8284,0.9077,1,
512,P2e Canonical first,50,0.7298,0.6873,0.765,0.62,0.5687,0.6638,0.8868,0.8481,0.9223,1,
512,P2e Canonical last,20,0.6314,0.5867,0.6717,0.5325,0.4855,0.5758,0.7755,0.7212,0.8245,1,
512,P2e Canonical last,30,0.6858,0.6397,0.725,0.5783,0.5276,0.6243,0.8423,0.7936,0.8818,1,
512,P2e Canonical last,40,0.7175,0.6762,0.7533,0.6051,0.5539,0.6501,0.8813,0.8409,0.9162,1,
512,P2e Canonical last,50,0.7236,0.6813,0.7574,0.6102,0.5594,0.6544,0.8887,0.8518,0.92,1,
512,P2e Config default,20,0.6057,0.561,0.6541,0.5199,0.4758,0.5678,0.7254,0.6697,0.7788,1,
512,P2e Config default,30,0.6708,0.6296,0.7092,0.5758,0.529,0.6193,0.8033,0.7559,0.848,1,
512,P2e Config default,40,0.7126,0.6742,0.7474,0.6117,0.5645,0.6528,0.8534,0.8112,0.8931,1,
512,P2e Config default,50,0.7343,0.6945,0.7686,0.6303,0.5818,0.672,0.8794,0.8393,0.9163,1,
512,P2e Random,20,0.5706,0.5188,0.6178,0.4726,0.4181,0.5218,0.7199,0.6678,0.7666,1,
512,P2e Random,30,0.6441,0.5948,0.6878,0.5335,0.477,0.5842,0.8126,0.7662,0.8557,1,
512,P2e Random,40,0.6735,0.6256,0.7144,0.5579,0.4994,0.6092,0.8497,0.8102,0.8869,1,
512,P2e Random,50,0.6971,0.6488,0.7381,0.5773,0.5182,0.6305,0.8794,0.8449,0.9127,1,
