condition_type,condition_label,short_label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper
consensus,pro-high-image,Consensus: Pro image N=5,40,0.8521,0.8231,0.8808,0.8195,0.7803,0.8597,0.8874,0.8531,0.9188
consensus,pro-high-image,Consensus: Pro image N=5,50,0.8653,0.8391,0.8926,0.8323,0.7933,0.8703,0.9011,0.8709,0.9305
consensus,pro-high-text,Consensus: Pro text N=5,20,0.8404,0.8000,0.8749,0.9183,0.8853,0.9481,0.7747,0.7177,0.8268
consensus,pro-high-text,Consensus: Pro text N=5,30,0.8554,0.8199,0.8875,0.9346,0.9049,0.9613,0.7885,0.7343,0.8392
consensus,pro-high-text,Consensus: Pro text N=5,40,0.8579,0.8224,0.8897,0.9373,0.9083,0.9626,0.7908,0.7366,0.8403
consensus,pro-high-text,Consensus: Pro text N=5,50,0.8579,0.8224,0.8897,0.9373,0.9083,0.9626,0.7908,0.7366,0.8403
n1,Pro Text HIGH T=0.7,N=1: Pro text HIGH T=0.7,20,0.7481,0.7040,0.7888,0.7473,0.6956,0.7956,0.7489,0.6914,0.8027
n1,Pro Text HIGH T=0.7,N=1: Pro text HIGH T=0.7,30,0.7913,0.7504,0.8272,0.7905,0.7424,0.8360,0.7922,0.7366,0.8431
n1,Pro Text HIGH T=0.7,N=1: Pro text HIGH T=0.7,40,0.8000,0.7603,0.8360,0.7992,0.7524,0.8442,0.8009,0.7446,0.8508
n1,Pro Text HIGH T=0.7,N=1: Pro text HIGH T=0.7,50,0.8009,0.7614,0.8369,0.8001,0.7533,0.8448,0.8018,0.7461,0.8516
