condition_type,condition_label,pool_size,buffer_metres,config_details,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,n_detections
consensus,pro-high-text,5,50,"N=5, 3-of-5",0.8579,0.8224,0.8897,0.9373,0.9083,0.9626,0.7908,0.7366,0.8403,367
consensus,single-pass-t0,5,20,"N=5, 5-of-5",0.544,0.4815,0.6021,0.3964,0.334,0.4575,0.8667,0.8333,0.8985,951
consensus,single-pass-t0,10,20,"N=10, 10-of-10",0.5521,0.4909,0.6102,0.4098,0.3476,0.4756,0.846,0.8051,0.8826,898
consensus,single-pass-t0,5,30,"N=5, 5-of-5",0.5541,0.4897,0.6114,0.4038,0.3392,0.4659,0.8828,0.8509,0.9137,951
consensus,single-pass-t0,10,30,"N=10, 10-of-10",0.5626,0.5,0.6209,0.4176,0.3527,0.4837,0.8621,0.8234,0.8971,898
consensus,single-pass-t0,5,40,"N=5, 5-of-5",0.5584,0.4931,0.6168,0.4069,0.342,0.4694,0.8897,0.8583,0.9202,951
consensus,single-pass-t0,10,40,"N=10, 10-of-10",0.5671,0.5049,0.6254,0.4209,0.3555,0.4885,0.869,0.8308,0.9037,898
consensus,single-pass-t0,5,50,"N=5, 5-of-5",0.5584,0.4931,0.6168,0.4069,0.342,0.4694,0.8897,0.8583,0.9202,951
consensus,single-pass-t0,10,50,"N=10, 10-of-10",0.5671,0.5049,0.6254,0.4209,0.3555,0.4885,0.869,0.8308,0.9037,898
pv,flash-high-image-3-of-5--flash-min-vf,,20,t=0.15,0.7778,0.7349,0.8156,0.8005,0.7577,0.8388,0.7563,0.7059,0.8034,411
pv,flash-high-image-3-of-5--flash-min-vf,,30,t=0.15,0.8511,0.8146,0.8821,0.8759,0.8376,0.9071,0.8276,0.7852,0.8708,411
pv,flash-high-image-3-of-5--flash-min-vf,,40,t=0.15,0.8723,0.8403,0.8996,0.8978,0.8624,0.9295,0.8483,0.8088,0.8884,411
pv,flash-high-image-3-of-5--flash-min-vf,,50,t=0.15,0.8771,0.8471,0.9035,0.9027,0.8684,0.9332,0.8529,0.815,0.8914,411
pv,flash-high-text-16-of-30--flash-min-vf,,20,t=0.2,0.8902,0.8631,0.9149,0.915,0.8832,0.9417,0.8667,0.8297,0.9021,412
pv,flash-high-text-16-of-30--flash-min-vf,,30,t=0.2,0.9044,0.8779,0.9277,0.9296,0.899,0.9552,0.8805,0.8447,0.915,412
pv,flash-high-text-16-of-30--flash-min-vf,,40,t=0.2,0.9044,0.8779,0.9277,0.9296,0.899,0.9552,0.8805,0.8447,0.915,412
pv,flash-high-text-16-of-30--flash-min-vf,,50,t=0.2,0.9044,0.8779,0.9277,0.9296,0.899,0.9552,0.8805,0.8447,0.915,412
pv,flash-high-text-4-of-5--flash-medium-vf,,20,t=0.95,0.8592,0.8268,0.8872,0.8777,0.8443,0.9091,0.8414,0.8,0.8821,417
pv,flash-high-text-4-of-5--flash-medium-vf,,30,t=0.95,0.885,0.8553,0.9107,0.9041,0.8741,0.9328,0.8667,0.8292,0.9045,417
pv,flash-high-text-4-of-5--flash-medium-vf,,40,t=0.95,0.885,0.8553,0.9107,0.9041,0.8741,0.9328,0.8667,0.8292,0.9045,417
pv,flash-high-text-4-of-5--flash-medium-vf,,50,t=0.95,0.885,0.8553,0.9107,0.9041,0.8741,0.9328,0.8667,0.8292,0.9045,417
pv,flash-high-text-4-of-5--flash-min-vf,,20,t=0.15,0.8641,0.8331,0.8935,0.9152,0.8838,0.9417,0.8184,0.774,0.862,389
pv,flash-high-text-4-of-5--flash-min-vf,,30,t=0.15,0.8908,0.8629,0.9161,0.9434,0.9173,0.9669,0.8437,0.8019,0.8833,389
pv,flash-high-text-4-of-5--flash-min-vf,,40,t=0.15,0.8908,0.8629,0.9161,0.9434,0.9173,0.9669,0.8437,0.8019,0.8833,389
pv,flash-high-text-4-of-5--flash-min-vf,,50,t=0.15,0.8908,0.8629,0.9161,0.9434,0.9173,0.9669,0.8437,0.8019,0.8833,389
pv,flash-high-text-9-of-10--flash-min-vf,,20,t=0.2,0.8564,0.8252,0.8852,0.9574,0.9322,0.9775,0.7747,0.7283,0.8195,352
pv,flash-high-text-9-of-10--flash-min-vf,,30,t=0.2,0.8691,0.8368,0.8968,0.9716,0.9485,0.9883,0.7862,0.7377,0.8296,352
pv,flash-high-text-9-of-10--flash-min-vf,,40,t=0.2,0.8691,0.8368,0.8968,0.9716,0.9485,0.9883,0.7862,0.7377,0.8296,352
pv,flash-high-text-9-of-10--flash-min-vf,,50,t=0.2,0.8691,0.8368,0.8968,0.9716,0.9485,0.9883,0.7862,0.7377,0.8296,352
pv,image-baseline--flash-min-vf,,20,t=0.2,0.7167,0.6734,0.7541,0.6634,0.6165,0.7047,0.7793,0.7329,0.8238,511
pv,image-baseline--flash-min-vf,,30,t=0.2,0.7822,0.7439,0.8132,0.7241,0.6792,0.762,0.8506,0.8116,0.8855,511
pv,image-baseline--flash-min-vf,,40,t=0.2,0.7992,0.7643,0.8286,0.7397,0.6978,0.776,0.869,0.8349,0.9008,511
pv,image-baseline--flash-min-vf,,50,t=0.2,0.8076,0.775,0.8365,0.7476,0.705,0.7847,0.8782,0.8449,0.9097,511
pv,pro-high-text-3-of-5--flash-min-vf,,20,t=0.15,0.8491,0.8121,0.8832,0.9568,0.9342,0.9776,0.7632,0.707,0.8164,347
pv,pro-high-text-3-of-5--flash-min-vf,,30,t=0.15,0.8645,0.8283,0.8962,0.9741,0.9566,0.9891,0.777,0.7211,0.8281,347
pv,pro-high-text-3-of-5--flash-min-vf,,40,t=0.15,0.867,0.8323,0.8982,0.9769,0.9613,0.9916,0.7793,0.7246,0.8309,347
pv,pro-high-text-3-of-5--flash-min-vf,,50,t=0.15,0.867,0.8323,0.8982,0.9769,0.9613,0.9916,0.7793,0.7246,0.8309,347
pv,text-baseline--flash-min-vf,,20,t=0.15,0.8142,0.7798,0.8437,0.7888,0.7431,0.8274,0.8414,0.8005,0.8804,464
pv,text-baseline--flash-min-vf,,30,t=0.15,0.832,0.7995,0.8572,0.806,0.7628,0.8421,0.8598,0.8197,0.8946,464
pv,text-baseline--flash-min-vf,,40,t=0.15,0.8387,0.8067,0.8647,0.8125,0.7711,0.8468,0.8667,0.8266,0.9007,464
pv,text-baseline--flash-min-vf,,50,t=0.15,0.8387,0.8067,0.8647,0.8125,0.7711,0.8468,0.8667,0.8266,0.9007,464
consensus,pro-high-text,10,20,"N=10, 6-of-10",0.8368,0.7979,0.8737,0.9206,0.8853,0.952,0.7674,0.7129,0.8207,363
consensus,pro-high-text,10,30,"N=10, 6-of-10",0.8567,0.8209,0.8895,0.9425,0.9135,0.9689,0.7857,0.7296,0.8368,363
consensus,pro-high-text,10,40,"N=10, 6-of-10",0.8618,0.8257,0.8946,0.9481,0.92,0.9736,0.7903,0.736,0.8422,363
consensus,pro-high-text,10,50,"N=10, 6-of-10",0.8642,0.8287,0.8963,0.9507,0.9227,0.9757,0.7927,0.7383,0.8446,363
