condition,replication,threshold,n_passes,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
B,5,4,5,0.6961,0.75,0.6495,0.5512,0.7531,0.6176,0.8572,0.481,0.6914,84
B,5,5,5,0.5036,0.8333,0.3608,0.3273,0.5958,0.7059,0.9375,0.2093,0.4546,42
A,2,1,5,0.2562,0.151,0.8454,0.1635,0.3554,0.0913,0.2288,0.6822,0.8537,543
A,2,2,5,0.5724,0.4355,0.8351,0.4228,0.6713,0.3071,0.5709,0.6667,0.8482,186
A,2,3,5,0.6697,0.6033,0.7526,0.5212,0.7433,0.46,0.7299,0.5854,0.7805,121
A,2,4,5,0.6559,0.6854,0.6289,0.4852,0.744,0.5571,0.7925,0.4047,0.7304,89
A,2,5,5,0.6456,0.8361,0.5258,0.4625,0.7361,0.711,0.9342,0.3279,0.625,61
D,2,1,5,0.2819,0.1683,0.866,0.1743,0.3947,0.0986,0.2595,0.7088,0.8679,499
D,2,2,5,0.5776,0.4444,0.8247,0.419,0.6827,0.3005,0.5909,0.6548,0.8364,180
D,2,3,5,0.6,0.5366,0.6804,0.4444,0.6823,0.3925,0.6644,0.4581,0.7728,123
D,2,4,5,0.6559,0.6854,0.6289,0.4904,0.7312,0.5479,0.7895,0.4122,0.72,89
D,2,5,5,0.5987,0.7833,0.4845,0.4091,0.6991,0.6538,0.8824,0.2857,0.6001,60
A,4,1,5,0.247,0.1449,0.8351,0.1473,0.3643,0.0819,0.2349,0.6692,0.8421,559
A,4,2,5,0.5634,0.4278,0.8247,0.4044,0.6582,0.2896,0.5622,0.6508,0.8378,187
A,4,3,5,0.6784,0.5923,0.7938,0.5339,0.7481,0.438,0.7234,0.6363,0.8056,130
A,4,4,5,0.6703,0.7176,0.6289,0.5,0.7594,0.5955,0.8193,0.409,0.7481,85
A,4,5,5,0.6795,0.8983,0.5464,0.4999,0.7701,0.8,0.9663,0.3461,0.6596,59
