queue_index,item_type,source_layer,source_index,candidate_id,map_name,buffer_metres,x,y,n_partners_within_threshold,nearest_partner_m,nearest_partner_layer,student_map_symbol,student_feature_type,student_reviewed_subtype
41,phantom,promoted_phantom,41,41,K-35-054-2_Atolov_4326,50.0,488914.7981374231,4716915.94809904,0,71.16676941034414,corrected_student,,,
42,phantom,promoted_phantom,42,42,K-35-054-2_Atolov_4326,50.0,492466.120149282,4721589.960867549,0,689.9702775445338,corrected_student,,,
43,phantom,promoted_phantom,43,43,K-35-054-2_Atolov_4326,50.0,492766.0343866625,4721955.819569013,0,230.0950471906905,corrected_student,,,
44,phantom,promoted_phantom,44,44,K-35-054-2_Atolov_4326,75.0,492899.6313899637,4722076.198614211,0,73.33319815271003,corrected_student,,,
45,phantom,promoted_phantom,45,45,K-35-054-2_Atolov_4326,50.0,492424.2910067803,4720274.970296188,0,1454.356454335382,corrected_student,,,
46,phantom,promoted_phantom,46,46,K-35-054-2_Atolov_4326,50.0,492066.5863352948,4720377.796635346,0,1656.8409791377587,corrected_student,,,
47,phantom,promoted_phantom,47,47,K-35-054-2_Atolov_4326,50.0,492755.393983536,4708491.326097317,1,46.890411779167266,corrected_student,,,
48,phantom,promoted_phantom,48,48,K-35-054-2_Atolov_4326,50.0,491781.21842193766,4707731.234141952,0,1247.8908236973443,corrected_student,,,
49,phantom,promoted_phantom,49,49,K-35-054-2_Atolov_4326,50.0,499750.3737874672,4717339.143802111,0,54.016353996655205,corrected_student,,,
50,phantom,promoted_phantom,50,50,K-35-054-3_Yambol,125.0,462958.46004028106,4702942.689053115,0,107.55852748887217,corrected_student,,,
51,phantom,promoted_phantom,51,51,K-35-054-3_Yambol,50.0,467053.8348926434,4698765.485440846,0,486.91203297818265,corrected_student,,,
52,phantom,promoted_phantom,52,52,K-35-054-3_Yambol,50.0,468490.43686273287,4703668.891931928,0,484.15872593300026,corrected_student,,,
53,phantom,promoted_phantom,53,53,K-35-054-3_Yambol,50.0,464102.5057380498,4698940.598889835,0,1181.858284754985,corrected_student,,,
54,phantom,promoted_phantom,54,54,K-35-054-3_Yambol,50.0,471461.0393961333,4688260.49164193,0,533.7068577802746,corrected_student,,,
55,phantom,promoted_phantom,55,55,K-35-054-4_Voynika,50.0,486243.7868987007,4703079.440581981,2,12.912511487600579,corrected_student,,,
56,phantom,promoted_phantom,56,56,K-35-054-1_Straldzha_4326,50.0,475831.4132403382,4711757.987526071,0,839.147701646143,corrected_student,,,
57,phantom,promoted_phantom,57,57,K-35-054-4_Voynika,125.0,485717.4248940089,4703360.538445924,0,111.53109957643893,corrected_student,,,
58,phantom,promoted_phantom,58,58,K-35-054-4_Voynika,100.0,485606.1321919792,4703296.864507353,1,87.57396301278793,corrected_student,,,
59,phantom,promoted_phantom,59,59,K-35-054-4_Voynika,50.0,494608.2154372952,4688146.4047726495,0,1751.8982508395484,corrected_student,,,
60,phantom,promoted_phantom,60,60,K-35-055-1,50.0,520092.25194796285,4723343.619877436,0,55.29218617494157,corrected_student,,,
61,phantom,promoted_phantom,61,61,K-35-055-1,100.0,502955.6959490068,4709707.394925845,0,100.26874116000027,corrected_student,,,
62,phantom,promoted_phantom,62,62,K-35-055-2,50.0,526434.7447839115,4715377.977056999,0,620.6478524829744,corrected_student,,,
63,phantom,promoted_phantom,63,63,K-35-055-2,50.0,532890.1489244979,4718196.061238023,0,1416.5542163172327,corrected_student,,,
64,phantom,promoted_phantom,64,64,K-35-055-1,75.0,504645.1251745307,4706978.901092476,0,67.73104214831312,corrected_student,,,
65,phantom,promoted_phantom,65,65,K-35-055-3,75.0,506804.5527178891,4702470.251770305,0,65.30044762528318,corrected_student,,,
66,phantom,promoted_phantom,66,66,K-35-055-3,50.0,501950.8773968914,4696740.664074888,1,42.91159739688695,corrected_student,,,
67,phantom,promoted_phantom,67,67,K-35-055-3,100.0,509168.636967668,4696315.249685689,0,89.34316145013639,corrected_student,,,
68,phantom,promoted_phantom,68,68,K-35-055-4,125.0,540003.7987188176,4695879.137342623,0,115.74966273423024,corrected_student,,,
69,phantom,promoted_phantom,69,69,K-35-062-4_Asenovgrad_4326,50.0,328450.12003241404,4656601.890136721,0,598.2585293997776,corrected_student,,,
70,phantom,promoted_phantom,70,70,K-35-062-4_Asenovgrad_4326,50.0,328402.9523818279,4658830.644356257,0,1432.9884144357022,corrected_student,,,
71,phantom,promoted_phantom,71,71,K-35-062-4_Asenovgrad_4326,50.0,327688.21472729906,4658401.088262779,0,793.9961899623603,corrected_student,,,
72,phantom,promoted_phantom,72,72,K-35-062-4_Asenovgrad_4326,50.0,326976.7423241713,4658046.663406324,1,0.9838550873253782,corrected_student,,,
73,phantom,promoted_phantom,73,73,K-35-062-4_Asenovgrad_4326,50.0,328664.88710824103,4652073.174001694,0,288.2429152307307,corrected_student,,,
74,phantom,promoted_phantom,74,74,K-35-062-4_Asenovgrad_4326,50.0,317282.89280189044,4657434.082931238,0,2322.3853359867485,corrected_student,,,
75,phantom,promoted_phantom,75,75,K-35-063-1_Granit_4326,50.0,342851.88975568506,4677228.113737117,1,27.494886219110388,corrected_student,,,
76,phantom,promoted_phantom,76,76,K-35-063-1_Granit_4326,50.0,344446.443946188,4673241.480535795,0,1163.4540214114509,corrected_student,,,
77,phantom,promoted_phantom,77,77,K-35-063-1_Granit_4326,75.0,344521.6899763964,4683305.355826339,1,714.0658356505929,corrected_student,,,
78,phantom,promoted_phantom,78,78,K-35-063-1_Granit_4326,50.0,344523.77560229145,4683220.766557053,1,629.493392273076,corrected_student,,,
79,phantom,promoted_phantom,79,79,K-35-063-1_Granit_4326,50.0,344183.7303090997,4674481.942143249,0,341.0017231864964,corrected_student,,,
80,phantom,promoted_phantom,80,80,K-35-063-1_Granit_4326,50.0,342720.4477320449,4684697.384161863,0,1054.7642467891176,corrected_student,,,
81,phantom,promoted_phantom,81,81,K-35-063-1_Granit_4326,50.0,346194.74373621907,4672654.093935454,0,59.54798757297051,corrected_student,,,
82,phantom,promoted_phantom,82,82,K-35-063-1_Granit_4326,50.0,346086.123222377,4672368.814468957,1,275.9401579592792,corrected_student,,,
83,phantom,promoted_phantom,83,83,K-35-063-1_Granit_4326,50.0,349163.09179214155,4684614.7795465095,0,1620.3533559439402,corrected_student,,,
84,phantom,promoted_phantom,84,84,K-35-063-1_Granit_4326,50.0,349362.0433379315,4684490.822322491,0,1818.3623737306343,corrected_student,,,
85,phantom,promoted_phantom,85,85,K-35-063-1_Granit_4326,50.0,349448.6941769849,4684489.554767073,0,1861.3871048067303,corrected_student,,,
86,phantom,promoted_phantom,86,86,K-35-063-1_Granit_4326,50.0,348986.4482334402,4683899.92895837,0,1532.2479735332424,corrected_student,,,
87,phantom,promoted_phantom,87,87,K-35-063-1_Granit_4326,50.0,352370.26754203514,4686651.362518783,0,779.9079978801944,corrected_student,,,
88,phantom,promoted_phantom,88,88,K-35-063-1_Granit_4326,50.0,337400.5968318843,4686653.428976339,0,445.9532601322182,corrected_student,,,
89,phantom,promoted_phantom,89,89,K-35-063-1_Granit_4326,50.0,337361.21714040264,4686583.830286405,0,513.9598250029876,corrected_student,,,
90,phantom,promoted_phantom,90,90,K-35-063-1_Granit_4326,50.0,337271.06872359576,4686510.632582364,0,594.2947607729847,corrected_student,,,
91,phantom,promoted_phantom,91,91,K-35-063-1_Granit_4326,100.0,351895.49180968513,4676317.962264922,0,87.39410887420061,corrected_student,,,
92,phantom,promoted_phantom,92,92,K-35-063-1_Granit_4326,100.0,342262.7801152804,4686563.052477458,0,81.53662803199065,corrected_student,,,
93,phantom,promoted_phantom,93,93,K-35-063-1_Granit_4326,50.0,354816.5230039412,4683809.687511363,1,952.2926541054085,corrected_student,,,
94,phantom,promoted_phantom,94,94,K-35-063-1_Granit_4326,100.0,337095.8415857264,4676590.599132555,0,112.97081436509721,corrected_student,,,
95,phantom,promoted_phantom,95,95,K-35-063-1_Granit_4326,50.0,351076.96678948915,4684119.828283523,0,1878.065590263068,corrected_student,,,
96,phantom,promoted_phantom,96,96,K-35-063-1_Granit_4326,50.0,338403.5443328588,4688136.538209286,0,200.36484520333482,corrected_student,,,
97,phantom,promoted_phantom,97,97,K-35-063-1_Granit_4326,50.0,351644.2538243025,4677353.571435791,0,332.9196721052206,corrected_student,,,
98,phantom,promoted_phantom,98,98,K-35-063-1_Granit_4326,50.0,336704.77837545186,4673070.266873625,0,716.3002007164068,corrected_student,,,
99,phantom,promoted_phantom,99,99,K-35-063-2_Chirpan_4326,50.0,355760.52192250936,4683827.766489743,1,32.95604095177397,corrected_student,,,
100,phantom,promoted_phantom,100,100,K-35-063-2_Chirpan_4326,50.0,355902.66395733977,4683612.745219555,1,5.9870580225141685,corrected_student,,,
101,phantom,promoted_phantom,101,101,K-35-063-1_Granit_4326,50.0,353318.1368225864,4684410.029152113,0,632.0838591363196,corrected_student,,,
102,phantom,promoted_phantom,102,102,K-35-063-2_Chirpan_4326,50.0,369468.9869342208,4678479.062647489,2,18.83489498895124,corrected_student,,,
103,phantom,promoted_phantom,103,103,K-35-063-1_Granit_4326,50.0,355197.91954470944,4684473.141842251,0,885.7416920616305,corrected_student,,,
104,phantom,promoted_phantom,104,104,K-35-063-1_Granit_4326,50.0,355205.4740373495,4684323.72207942,0,771.9420387885415,corrected_student,,,
105,phantom,promoted_phantom,105,105,K-35-063-1_Granit_4326,50.0,354946.893680018,4684223.45671096,0,926.4135284615351,corrected_student,,,
106,phantom,promoted_phantom,106,106,K-35-063-1_Granit_4326,50.0,354880.80388370267,4684439.925204617,0,1096.9163047788825,corrected_student,,,
107,phantom,promoted_phantom,107,107,K-35-063-1_Granit_4326,50.0,354818.7481991527,4683833.525200976,1,950.7138373519814,corrected_student,,,
108,phantom,promoted_phantom,108,108,K-35-063-3_Tatarevo_4326,50.0,347506.7805138721,4669765.988547052,2,39.52737798050752,corrected_student,,,
109,phantom,promoted_phantom,109,109,K-35-063-2_Chirpan_4326,50.0,360207.7044050703,4669786.307532623,0,56.67479404808812,corrected_student,,,
110,phantom,promoted_phantom,110,110,K-35-063-3_Tatarevo_4326,50.0,349039.6967579377,4669619.7531195255,1,5.616258036927859,corrected_student,,,
111,phantom,promoted_phantom,111,111,K-35-063-3_Tatarevo_4326,125.0,336226.1925962367,4657944.052977482,0,136.78523266641875,corrected_student,,,
112,phantom,promoted_phantom,112,112,K-35-063-3_Tatarevo_4326,75.0,351073.166899994,4651721.342963819,0,64.05051671866802,corrected_student,,,
113,phantom,promoted_phantom,113,113,K-35-063-3_Tatarevo_4326,50.0,351903.17267666216,4669738.041441192,1,14.353722349238167,corrected_student,,,
114,phantom,promoted_phantom,114,114,K-35-063-3_Tatarevo_4326,50.0,353144.40725896787,4669431.356518463,1,3.21230513802052,corrected_student,,,
115,phantom,promoted_phantom,115,115,K-35-063-3_Tatarevo_4326,50.0,351537.6396557676,4658529.383208953,1,30.94021692541918,corrected_student,,,
116,phantom,promoted_phantom,116,116,K-35-063-4_Skobelevo_4326,50.0,364804.2435822963,4657702.16357265,1,33.35075509150845,corrected_student,,,
117,phantom,promoted_phantom,117,117,K-35-063-4_Skobelevo_4326,50.0,364531.0823493146,4660668.112466241,0,182.08434676259355,corrected_student,,,
118,phantom,promoted_phantom,118,118,K-35-063-4_Skobelevo_4326,50.0,355725.9582743417,4658651.750222866,0,2079.8593334242155,corrected_student,,,
119,phantom,promoted_phantom,119,119,K-35-063-4_Skobelevo_4326,50.0,367372.56752631295,4658925.86256777,0,921.7720700010364,corrected_student,,,
120,phantom,promoted_phantom,120,120,K-35-063-4_Skobelevo_4326,50.0,367470.3738991111,4658836.836117624,0,821.8411725678646,corrected_student,,,
121,phantom,promoted_phantom,121,121,K-35-063-4_Skobelevo_4326,50.0,367020.7504676852,4658772.559682758,0,908.6790772494026,corrected_student,,,
122,phantom,promoted_phantom,122,122,K-35-063-4_Skobelevo_4326,75.0,373362.1159313132,4662833.59801345,0,63.45277563707723,corrected_student,,,
123,phantom,promoted_phantom,123,123,K-35-063-4_Skobelevo_4326,150.0,358318.8612609785,4651899.664878185,0,125.04677161177334,corrected_student,,,
124,phantom,promoted_phantom,124,124,K-35-064-1_Sredets_4326,50.0,376310.0122605493,4680729.137637389,1,9.342962666018403,corrected_student,,,
125,phantom,promoted_phantom,125,125,K-35-064-1_Sredets_4326,50.0,376285.8925960991,4681248.7512720665,1,13.729578164082135,corrected_student,,,
126,phantom,promoted_phantom,126,126,K-35-064-1_Sredets_4326,50.0,376353.4287973352,4686330.843216799,1,13.88271629739266,corrected_student,,,
127,phantom,promoted_phantom,127,127,K-35-064-1_Sredets_4326,50.0,384959.81383755663,4669243.811495922,0,610.3072139113312,corrected_student,,,
128,phantom,promoted_phantom,128,128,K-35-064-1_Sredets_4326,50.0,385951.9301864224,4677728.804076168,0,539.1170634830205,corrected_student,,,
129,phantom,promoted_phantom,129,129,K-35-064-1_Sredets_4326,100.0,390969.0340954292,4680224.651101042,0,92.33701748880034,corrected_student,,,
130,phantom,promoted_phantom,130,130,K-35-064-1_Sredets_4326,50.0,380593.40543224657,4674578.384381049,0,180.23931377230883,corrected_student,,,
131,phantom,promoted_phantom,131,131,K-35-064-1_Sredets_4326,50.0,394909.39099268266,4670674.86649235,0,608.2587877071368,corrected_student,,,
132,phantom,promoted_phantom,132,132,K-35-064-1_Sredets_4326,50.0,395018.8754430788,4670570.096776542,0,464.1802329569002,corrected_student,,,
133,phantom,promoted_phantom,133,133,K-35-064-1_Sredets_4326,50.0,379835.8916694177,4680377.776500646,0,611.4663070630875,corrected_student,,,
134,phantom,promoted_phantom,134,134,K-35-064-2_Radnevo_4326,50.0,401565.9178944808,4670329.808395459,0,159.48327207934014,corrected_student,,,
135,phantom,promoted_phantom,135,135,K-35-064-2_Radnevo_4326,50.0,404714.5792743808,4670423.419325928,0,59.43065298038644,corrected_student,,,
136,phantom,promoted_phantom,136,136,K-35-064-2_Radnevo_4326,50.0,402018.5310241028,4674942.75138496,0,799.1178790950985,corrected_student,,,
137,phantom,promoted_phantom,137,137,K-35-064-2_Radnevo_4326,50.0,402577.6781757,4679938.188195147,0,2912.9069549999613,corrected_student,,,
138,phantom,promoted_phantom,138,138,K-35-064-2_Radnevo_4326,50.0,406719.695146828,4679735.484565202,0,1116.122140169792,corrected_student,,,
139,phantom,promoted_phantom,139,139,K-35-064-2_Radnevo_4326,50.0,405264.3728658959,4680033.451311331,0,926.209684276764,corrected_student,,,
140,phantom,promoted_phantom,140,140,K-35-064-2_Radnevo_4326,50.0,410541.5665456828,4684925.065463121,0,1945.7684355001918,corrected_student,,,
141,phantom,promoted_phantom,141,141,K-35-064-2_Radnevo_4326,50.0,412491.82401779294,4685077.703778014,0,1093.0327205980047,corrected_student,,,
142,phantom,promoted_phantom,142,142,K-35-063-1_Granit_4326,100.0,335648.5005298831,4677216.104008463,0,79.14209158744667,corrected_student,,,
143,phantom,promoted_phantom,143,143,K-35-064-2_Radnevo_4326,50.0,405162.5290055548,4669771.407874401,0,609.5818502561953,corrected_student,,,
144,phantom,promoted_phantom,144,144,K-35-064-2_Radnevo_4326,50.0,413665.06339725415,4683569.272671603,0,1670.815963630122,corrected_student,,,
145,phantom,promoted_phantom,145,145,K-35-064-2_Radnevo_4326,50.0,414985.3087323193,4673288.747663642,0,2038.2814751328078,corrected_student,,,
146,phantom,promoted_phantom,146,146,K-35-064-3_Dimitrovgrad_4326,50.0,375869.4074660472,4659324.815757209,1,15.932224193843208,corrected_student,,,
147,phantom,promoted_phantom,147,147,K-35-064-3_Dimitrovgrad_4326,50.0,375861.0103732132,4659185.868393522,1,9.132467943239625,corrected_student,,,
148,phantom,promoted_phantom,148,148,K-35-064-3_Dimitrovgrad_4326,50.0,396494.32099748286,4662808.764231616,2,6.782939271898047,corrected_student,,,
149,phantom,promoted_phantom,149,149,K-35-064-4_Galabovo_4326,50.0,396604.8371775265,4651156.916958843,1,24.87329174993878,corrected_student,,,
150,phantom,promoted_phantom,150,150,K-35-064-4_Galabovo_4326,50.0,402442.5252042348,4660693.211228226,0,485.73549735169604,corrected_student,,,
151,phantom,promoted_phantom,151,151,K-35-064-4_Galabovo_4326,50.0,396585.67694571655,4662686.854590829,1,9.549688503770904,corrected_student,,,
152,phantom,promoted_phantom,152,152,K-35-064-4_Galabovo_4326,50.0,409828.2127801005,4650528.339834765,2,39.50714945081997,corrected_student,,,
153,phantom,promoted_phantom,153,153,K-35-064-4_Galabovo_4326,50.0,412181.7806784211,4661136.394774017,0,1539.8822779661614,corrected_student,,,
154,phantom,promoted_phantom,154,154,K-35-065-1_Radetski_4326,50.0,426759.2595549247,4678382.722669078,0,1201.184855652479,corrected_student,,,
155,phantom,promoted_phantom,155,155,K-35-065-2_GManastir_4326,50.0,438110.9715779822,4680946.65219772,0,1426.7933794361668,corrected_student,,,
156,phantom,promoted_phantom,156,156,K-35-065-1_Radetski_4326,50.0,436760.2079395685,4680126.521848042,0,1151.874966529857,corrected_student,,,
157,phantom,promoted_phantom,157,157,K-35-065-2_GManastir_4326,125.0,447636.8977889095,4673134.6214379,0,121.41854078671534,corrected_student,,,
158,phantom,promoted_phantom,158,158,K-35-065-2_GManastir_4326,50.0,451567.0390224618,4677748.235559715,0,142.45318189863355,corrected_student,,,
159,phantom,promoted_phantom,159,159,K-35-065-3_Glavan_4326,100.0,418504.5547462364,4658036.174173866,0,99.49871667363374,corrected_student,,,
160,phantom,promoted_phantom,160,160,K-35-065-3_Glavan_4326,50.0,428986.0103372202,4663283.78928519,0,406.8167062502111,corrected_student,,,
161,phantom,promoted_phantom,161,161,K-35-065-3_Glavan_4326,75.0,433208.5245736612,4665522.511577818,0,76.84038273363963,corrected_student,,,
162,phantom,promoted_phantom,162,162,K-35-065-3_Glavan_4326,50.0,435095.5136679412,4655873.008806828,0,865.3477767288307,corrected_student,,,
163,phantom,promoted_phantom,163,163,K-35-065-3_Glavan_4326,50.0,434290.6152740869,4655088.790731287,0,1556.2488479114656,corrected_student,,,
164,phantom,promoted_phantom,164,164,K-35-065-3_Glavan_4326,50.0,434784.44708468096,4655174.426293194,1,1133.079608403142,corrected_student,,,
165,phantom,promoted_phantom,165,165,K-35-065-3_Glavan_4326,50.0,420561.8622105652,4656905.348051256,0,690.7550055847041,corrected_student,,,
166,phantom,promoted_phantom,166,166,K-35-066-1,100.0,460223.6753734264,4668697.565592001,0,99.83866460742563,corrected_student,,,
167,phantom,promoted_phantom,167,167,K-35-066-1,100.0,463951.1671329505,4684100.020290228,0,102.38255382809096,corrected_student,,,
168,phantom,promoted_phantom,168,168,K-35-066-1,50.0,464757.0408290785,4678017.68229532,0,1778.1925549894409,corrected_student,,,
169,phantom,promoted_phantom,169,169,K-35-066-1,50.0,472048.1563382853,4678882.684914874,0,1076.1932672909845,corrected_student,,,
170,phantom,promoted_phantom,170,170,K-35-066-1,75.0,472829.392025711,4679674.211627762,0,85.69577459248222,corrected_student,,,
171,phantom,promoted_phantom,171,171,K-35-066-1,50.0,476002.6912117663,4674950.547432017,0,103.78683336868019,corrected_student,,,
172,phantom,promoted_phantom,172,172,K-35-066-1,50.0,477267.3560980696,4677249.577973224,0,203.7894563490443,corrected_student,,,
173,phantom,promoted_phantom,173,173,K-35-066-2,150.0,488609.0220775832,4684368.461945772,0,142.7063989588202,corrected_student,,,
174,phantom,promoted_phantom,174,174,K-35-066-2,100.0,490149.17623171647,4678186.554532058,0,78.0063739809409,corrected_student,,,
175,phantom,promoted_phantom,175,175,K-35-066-1,50.0,478806.21679306455,4682091.56779189,0,771.8264978965931,corrected_student,,,
176,phantom,promoted_phantom,176,176,K-35-066-2,50.0,497913.9393220088,4679155.74515385,0,2066.1421851973537,corrected_student,,,
177,phantom,promoted_phantom,177,177,K-35-066-3,75.0,471012.2756641945,4663668.633507753,0,71.06543007028037,corrected_student,,,
178,phantom,promoted_phantom,178,178,K-35-066-3,50.0,458802.0563623842,4653952.539063168,0,542.986233142741,corrected_student,,,
179,phantom,promoted_phantom,179,179,K-35-066-4,75.0,488511.91021030536,4667444.485829235,0,73.64326659289752,corrected_student,,,
180,phantom,promoted_phantom,180,180,K-35-066-3,50.0,471765.5581236047,4662231.181064048,0,1587.895666286037,corrected_student,,,
181,phantom,promoted_phantom,181,181,K-35-066-3,50.0,463742.5226585639,4664380.977663524,1,28.23539532889213,corrected_student,,,
182,phantom,promoted_phantom,182,182,K-35-066-1,50.0,476953.8682063625,4668298.022882192,2,409.29930801375514,corrected_student,,,
183,phantom,promoted_phantom,183,183,K-35-067-1,50.0,500424.1660311872,4685907.387316988,0,342.1418376400095,corrected_student,,,
184,phantom,promoted_phantom,184,184,K-35-067-1,50.0,512146.62137083686,4682725.577100538,0,1389.0052356290735,corrected_student,,,
185,phantom,promoted_phantom,185,185,K-35-067-1,50.0,502336.8109317571,4685584.873673256,0,1730.5306805931502,corrected_student,,,
186,phantom,promoted_phantom,186,186,K-35-067-1,50.0,502664.0379418197,4681940.272501512,0,1325.6281738685232,corrected_student,,,
187,phantom,promoted_phantom,187,187,K-35-067-2,50.0,537025.4891938117,4678024.255449736,0,51.65669166818277,corrected_student,,,
188,phantom,promoted_phantom,188,188,K-35-067-2,50.0,528163.0337825208,4669567.55429439,0,65.03497318636782,corrected_student,,,
189,phantom,promoted_phantom,189,189,K-35-067-2,50.0,532850.608578343,4670108.30429974,0,930.4477590397934,corrected_student,,,
190,phantom,promoted_phantom,190,190,K-35-067-2,50.0,533428.8417133073,4677201.085103799,0,61.50077079631812,corrected_student,,,
191,phantom,promoted_phantom,191,191,K-35-067-3,50.0,501266.70989081793,4656331.552585202,0,54.12040393683841,corrected_student,,,
192,phantom,promoted_phantom,192,192,K-35-067-3,50.0,510032.2149998564,4664531.11805087,0,1266.9105835237579,corrected_student,,,
